1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q3,-3005,127,819,264,0,0,-26,275,306,-4346,1052,-816,738,-5320,193,25,168,151,51,-3005,1993,9,-559,568,2310,-822,-83,0,306,0,124,-339,-85,0,-31,-48,37,0,-47,0,979,737,242,-7391
1976:Q4,26922,135,2415,-1863,0,0,112,4332,-166,22555,-2655,1195,1227,22788,1612,1219,393,153,52,26922,7710,5206,4460,746,-4793,1152,632,0,-166,0,171,616,-109,0,12,18,36,0,54,0,2923,2558,365,14092
1977:Q1,-17783,119,-3418,-2613,0,0,-196,-612,3,-13732,403,-1415,-698,-12022,-819,-745,-74,-12,79,-17783,-134,-3852,-4389,537,-3027,-1470,-826,0,3,0,-145,-741,-11,0,-30,-1,35,0,64,0,-1533,-1639,106,-6942
1977:Q2,19012,142,10686,7383,0,0,160,2542,601,7229,-606,1525,266,6044,919,114,805,-60,96,19012,3339,2732,2136,596,7152,1488,1099,0,601,0,130,163,68,0,64,-10,35,0,48,0,1032,540,492,2171
1977:Q3,3705,125,1537,551,0,0,-46,2431,-1399,-411,2474,-1025,-210,-1650,2425,312,2113,-66,95,3705,7917,471,-254,725,2807,-1058,-1177,0,-1399,0,-67,113,127,0,20,48,34,0,-53,0,365,56,309,-5620
1977:Q4,26937,125,-2736,-8668,0,0,53,3283,2596,29004,2021,2148,2318,22517,494,1072,-578,-35,85,26937,3836,7081,6257,824,-7366,2114,3727,0,2596,0,355,651,141,0,-40,32,33,0,-41,0,3987,3443,544,13558
1978:Q1,-28630,110,-3990,-2408,0,0,-46,764,-2300,-24314,-3755,-2248,-1004,-17307,-526,-562,36,-19,109,-28630,-302,-5990,-6788,798,-5576,-2277,-3328,0,-2300,0,-505,-760,109,0,52,-40,32,0,84,0,-1335,-1612,277,-9823
1978:Q2,27310,124,10580,6853,0,0,-35,3496,266,15747,4400,1510,326,9511,734,-255,989,-30,155,27310,6740,3227,2419,808,10944,1495,760,0,266,0,143,162,87,0,55,34,31,0,-18,0,597,36,561,3548
1978:Q3,6477,118,6175,4998,0,0,-92,1016,253,-445,-19,-1089,-669,1332,543,-60,603,8,78,6477,7111,1733,908,825,4998,-1058,842,0,253,0,398,-107,88,0,32,-50,31,0,197,0,-313,-821,508,-6836
1978:Q4,16949,148,-5458,-12513,0,0,229,3497,3329,20357,-6023,1857,1299,23224,1708,621,1087,95,99,16949,3123,10601,9759,842,-5915,1912,4464,0,3329,0,383,679,65,0,-34,86,30,0,-74,0,3042,2149,893,-278
1979:Q1,-34378,327,-1342,1675,0,0,-122,230,-3125,-33638,-9912,-2438,-2137,-19151,-17,-247,230,203,89,-34378,-5978,-1690,-2444,754,-9526,-2386,-4348,0,-3125,0,-477,-988,23,0,74,-33,29,0,149,0,-2480,-2506,26,-7971
1979:Q2,28969,367,1683,-2450,0,0,19,3187,927,24443,12113,1090,1747,9493,1980,862,1118,327,169,28969,11606,-1057,-1800,743,11079,1119,1836,0,927,0,328,343,-18,0,20,55,29,0,152,0,3144,2628,516,1242
1979:Q3,15163,300,4949,3165,0,0,-98,1545,337,10773,3586,-855,1060,6982,-1293,-254,-1039,330,104,15163,13237,697,-9,706,6330,-844,505,0,337,0,128,-370,-47,0,5,14,28,0,410,0,1322,708,614,-6084
1979:Q4,30102,266,4664,-2257,0,0,312,1730,4879,24859,-5387,1922,2707,25617,87,395,-308,211,15,30102,1000,10992,10311,681,-8668,1910,6830,0,4879,0,271,1253,-87,0,82,136,27,0,269,0,3960,3414,546,14078
1980:Q1,-33746,261,-4721,-1649,0,0,-213,296,-3155,-25203,-6376,-2298,-579,-15950,-4449,162,-4611,108,258,-33746,-9366,-1650,-2408,758,-6843,-2314,-3576,0,-3155,0,253,-1032,-136,0,50,-24,26,0,442,0,-184,-630,446,-9813
1980:Q2,18372,171,4942,808,0,0,242,3177,715,14319,4927,1351,2913,5128,-1288,134,-1422,21,207,18372,-135,2435,1698,737,6233,1346,1229,0,696,19,-79,670,-198,0,48,-16,25,0,64,0,4410,3289,1121,2855
1980:Q3,16029,130,3276,840,0,0,-269,1426,1279,11121,6064,-1034,-3198,9289,1115,-26,1141,-8,395,16029,18875,1281,598,683,8054,-1041,471,0,1278,1,-41,-537,-274,0,-75,-100,25,0,194,0,-3324,-3493,169,-8287
1980:Q4,17860,179,6105,-1069,0,0,-2,4675,2501,11554,-7173,1450,696,16581,-967,157,-1124,17,972,17860,3789,351,-301,652,-9980,1439,3922,0,2500,1,-38,1447,-285,0,14,167,24,0,92,0,1888,851,1037,16451
1981:Q1,-17254,172,-3488,27,0,0,-15,-981,-2519,-13307,-1698,-2673,-1702,-7234,-799,-550,-249,32,136,-17254,2973,-5146,-5634,488,2252,-2684,-3591,0,-2519,0,29,-878,-231,0,181,-149,23,0,-47,0,-1776,-2267,491,-9282
1981:Q2,15716,154,3807,-125,0,0,-60,2729,1263,11957,6787,1171,2036,1963,-463,4,-467,32,229,15716,7939,-3723,-4253,530,-2658,1165,1043,0,1261,2,27,219,-191,0,-68,0,23,0,-230,0,2422,1980,442,9528
1981:Q3,2764,155,888,576,0,0,33,-356,635,2658,2554,-1364,-222,1690,-1031,603,-1634,31,63,2764,9970,-3732,-4347,615,6854,-1367,1589,0,636,-1,16,573,-169,0,27,66,22,0,419,0,295,414,-119,-10845
1981:Q4,25617,169,7843,768,0,0,183,7454,-562,21263,-8757,1435,-3134,31719,-3851,-961,-2890,28,165,25617,25309,-6064,-6752,688,-6072,1433,-273,0,-562,0,-37,604,-145,0,-119,260,21,0,-295,0,-3167,-3912,745,14451
1982:Q1,-24852,155,-4675,-1395,0,0,-132,-1139,-2009,-19168,2066,-2087,-1999,-17148,-1489,-1369,-120,41,284,-24852,-6148,-3463,-3783,320,995,-2090,-4351,0,-2011,2,115,-2367,-502,0,28,-189,19,0,554,0,-3943,-3500,-443,-5852
1982:Q2,9376,140,6804,1209,0,0,179,1929,3487,1722,-1514,1276,478,1482,227,439,-212,69,414,9376,1537,370,-201,571,-1767,1270,4112,0,3485,2,-40,798,-106,0,108,-30,18,0,-123,0,2931,1096,1835,923
1982:Q3,23757,135,7583,6839,0,0,-219,1862,-899,16503,9486,-1265,-865,9147,-837,-771,-66,37,336,23757,13034,1745,562,1183,17098,-1254,130,0,-899,0,-93,59,-249,0,76,-64,18,0,1282,0,-1551,-1855,304,-5445
1982:Q4,30378,131,789,-5936,0,0,-77,6470,332,28296,-3977,905,140,31228,414,536,-122,-56,804,30378,11828,15440,13767,1673,-9897,876,1866,0,334,-2,-190,1788,-310,0,145,133,21,0,-53,0,1370,599,771,8895
1983:Q1,-12267,170,-1842,-1392,0,0,152,644,-1246,-10671,-2301,-1737,855,-7488,-474,-524,50,-156,706,-12267,5399,-4122,-6114,1992,-3928,-1764,-4269,0,-1246,0,-372,-2134,-146,0,221,-61,21,0,-552,0,887,483,404,-4470
1983:Q2,34836,179,11159,5227,0,0,-208,3974,2166,22173,7597,1933,498,12145,825,519,306,-265,765,34836,6950,8678,6630,2048,12668,1917,2538,0,2165,1,-198,473,133,0,24,-143,22,0,61,0,2033,809,1224,53
1983:Q3,6391,176,8432,7728,0,0,108,3638,-3042,-1852,676,-2132,-688,292,-520,-276,-244,-282,437,6391,-342,7156,4981,2175,8654,-2148,-3965,0,-3041,-1,-460,-434,339,0,-65,267,22,0,-592,0,130,-856,986,-3094
1983:Q4,11969,164,-3979,-12901,0,0,-26,5359,3589,15125,-11315,1737,704,23999,501,468,33,-211,369,11969,-1772,18327,16057,2270,-25657,1734,4981,0,3586,3,-561,1183,144,0,239,142,25,0,220,0,2637,1146,1491,11719
1984:Q1,-8161,157,-3244,63,0,0,48,310,-3665,-5064,1519,2046,-269,-8360,-93,140,-233,-160,243,-8161,-15199,13843,12912,931,2027,2037,-4661,0,-3663,-2,-96,-1279,347,0,223,-1,-275,0,85,0,-103,-81,-22,-6105
1984:Q2,12772,224,6745,733,0,0,-97,5369,740,5212,-1000,2578,205,3429,190,160,30,-140,541,12772,7532,-4202,-5247,1045,67,2564,2416,0,740,0,811,595,403,0,167,-101,2,0,-201,0,1694,268,1426,2701
1984:Q3,7088,124,4179,4059,0,0,-26,-130,276,3150,12678,-2050,58,-7536,-759,-518,-241,-103,497,7088,-1691,868,-515,1383,15705,-2058,-73,0,272,4,-249,-654,-13,0,213,289,102,0,-37,0,-96,-486,390,-5567
1984:Q4,38462,181,5161,-3150,0,0,36,2376,5899,33329,-9172,3094,2988,36419,-372,-625,253,-51,214,38462,21341,7661,5975,1686,-12534,3087,8325,0,5893,6,64,1870,-169,0,-4,394,-145,0,416,0,3001,2399,602,7581
1985:Q1,-33593,170,-7010,-2212,0,0,-28,1420,-6190,-27682,-1907,-2426,-1902,-21447,276,430,-154,13,640,-33593,-5641,-10020,-12332,2312,-4563,-2433,-6849,0,-6180,-10,606,-1540,239,0,340,-402,65,0,33,0,-1259,-1500,241,-2828
1985:Q2,38927,195,6812,259,0,0,45,5709,799,30541,10365,3677,992,15507,253,269,-16,79,1047,38927,10665,8748,6140,2608,10378,3669,2009,0,799,0,19,103,245,0,547,203,279,0,-186,0,2575,1306,1269,883
1985:Q3,22419,141,2425,844,0,0,285,-926,2222,17984,-7352,-1631,578,26389,1153,643,510,107,609,22419,11670,13808,10510,3298,-6337,-1639,5262,0,2213,9,611,832,40,0,-390,861,637,0,449,0,2445,1506,939,-2791
1985:Q4,57304,128,14998,5181,0,0,-184,5568,4433,40804,9145,1834,364,29461,429,0,429,95,850,57304,-5213,24712,18698,6014,13513,1826,14582,0,4467,-34,3570,5092,-540,0,-145,121,-24,0,2075,0,1047,180,867,6837
1986:Q1,-32380,155,-10106,-6004,511,0,-202,-125,-4286,-21781,-13849,-2235,-209,-5488,-509,-499,-10,102,-241,-32380,12734,-8980,-10375,1395,-18663,-2243,-6326,0,-4286,0,353,-1491,-460,0,-51,-23,376,0,-744,0,-901,-910,9,-8002
1986:Q2,54092,123,5767,-153,-61,0,32,4979,970,47031,13276,5367,500,27888,1225,936,289,127,-181,54092,33422,-2377,-2952,575,12380,5360,1976,0,970,0,544,902,-390,0,-100,344,12,0,-306,0,1837,1468,369,1494
1986:Q3,9444,108,5728,4262,213,0,12,853,388,3495,2987,-3323,-21,3852,-385,-307,-78,117,381,9444,18878,-8213,-8447,234,7304,-3330,3404,0,388,0,499,255,-325,0,299,212,1105,0,971,0,198,-316,514,-8797
1986:Q4,94362,129,11543,9,254,0,42,8195,3043,81588,-731,3401,2412,76506,593,-12,605,73,436,94362,52139,20433,20058,375,-612,3395,9258,0,3043,0,836,2323,-204,0,583,995,-572,0,2254,0,3971,2442,1529,5778
1987:Q1,-78115,168,-8585,-3921,-340,0,42,-1207,-3159,-69410,-18831,-3937,-1520,-45122,-779,-399,-380,27,464,-78115,-35926,1186,942,244,-22207,-3943,-6204,0,-3159,0,51,-1554,-115,0,627,-592,213,0,-1675,0,-1957,-1877,-80,-9064
1987:Q2,58701,154,17142,10172,-119,0,-120,5752,1457,40638,22275,3535,378,14450,94,343,-249,-21,694,58701,12773,4310,4116,194,30992,3530,1022,0,1457,0,619,-299,-80,0,592,-699,-105,0,-463,0,1990,601,1389,4085
1987:Q3,-5165,117,-3058,-4686,-39,0,161,1034,472,-2772,2051,-2044,-2227,-552,368,421,-53,-26,206,-5165,4743,314,122,192,-2972,-2049,1810,0,472,0,485,510,-55,0,411,-273,604,0,-344,0,-999,-1645,646,-6013
1987:Q4,27759,171,9828,-3821,608,0,-194,12799,436,17717,-11331,3494,1924,23630,-289,-214,-75,11,321,27759,13883,4707,4473,234,-13888,3490,4731,0,436,0,325,604,-16,0,132,1494,653,0,1103,0,3427,1516,1911,11409
1988:Q1,-24212,162,-6412,-2877,-591,0,336,-1532,-1748,-18613,1876,-2912,-1236,-16341,528,318,210,44,79,-24212,-8793,-3273,-4846,1573,-2451,-2912,-2761,0,-1748,0,-1321,-2203,200,0,8,-234,329,0,2208,0,-486,-582,96,-3537
1988:Q2,43307,162,15261,7312,-85,0,-206,5785,2455,26953,9039,4491,1173,12250,804,130,674,66,61,43307,4543,8201,6787,1414,18053,4491,4621,0,2455,0,-350,-79,600,0,243,-213,670,0,1295,0,2953,1097,1856,445
1988:Q3,-8576,136,3084,3218,7,0,-51,3382,-3472,-12031,1595,-1361,-1000,-11265,-264,-448,184,80,419,-8576,-1194,-811,-1637,826,5439,-1361,-5130,0,-3472,0,-735,-904,1100,0,-359,161,-142,0,-779,0,-667,-1499,832,-4852
1988:Q4,34450,162,7777,-4361,190,0,-18,6498,5468,26270,-5175,2329,478,28638,-53,-10,-43,88,206,34450,15237,12214,11450,764,-12046,2329,4527,0,5468,0,-1278,-119,1011,0,-326,255,298,0,-782,0,1777,450,1327,10412
1989:Q1,-62975,237,-9324,-4132,-302,0,41,427,-5358,-54101,-15466,-5013,547,-34169,-218,-360,142,117,314,-62975,-19570,-6627,-7208,581,-19031,-5013,-6138,0,-5358,0,956,-229,575,0,-725,-455,-324,0,-578,0,983,228,755,-7579
1989:Q2,37743,217,13500,7708,-90,0,-127,5437,572,23449,20877,2571,-1506,1507,87,375,-288,169,321,37743,-3801,1536,1687,-151,25854,2571,3933,0,572,0,1036,777,-50,0,-92,299,472,0,919,0,633,-1258,1891,7017
1989:Q3,-12074,172,-377,1265,53,0,78,-2120,347,-13076,-4112,-1167,597,-8394,719,-50,769,139,349,-12074,-2763,1283,1440,-157,-8886,-1167,579,34,347,0,1161,667,-375,0,-295,-231,253,0,-982,0,283,625,-342,-1403
1989:Q4,45440,202,6707,-7220,1013,0,241,7124,5549,39024,-4696,2725,425,40570,-861,-92,-769,26,342,45440,17175,13513,12601,912,-12116,2725,13941,-24,5549,0,4713,3878,-556,0,-127,-885,384,0,1009,0,2019,574,1445,8183
1990:Q1,-44044,214,-5578,-1300,-981,0,-305,2428,-5420,-39955,-8863,-2846,-1843,-26403,604,581,23,-92,763,-44044,-14523,-8758,-9689,931,-12269,-2846,-6093,112,-5420,0,-1329,278,-475,0,619,-229,-36,0,387,0,1380,-1567,2947,-935
1990:Q2,34479,225,9797,678,-58,0,80,8054,1043,24301,15353,2351,50,6547,-398,-251,-147,-216,770,34479,8770,432,-64,496,16128,2351,-1900,-98,1043,0,-1021,-1192,-400,0,528,179,480,0,-1419,0,3932,-121,4053,4766
1990:Q3,3132,155,6967,2115,52,0,55,4287,458,-4357,4523,-842,1508,-9546,617,188,429,-235,-15,3132,-361,-4418,-5382,964,4851,-842,-345,63,458,0,-1972,-1819,150,0,398,-122,346,0,2153,0,6641,1751,4890,-2394
1990:Q4,52940,181,16119,1356,-73,0,-47,7045,7838,37272,-5676,1863,-111,41196,-468,-215,-253,-155,-9,52940,16932,20207,20377,-170,-3870,1863,3118,2,7838,0,-2621,-2041,-105,0,258,-3,421,0,-631,0,4323,-373,4696,10367
1991:Q1,-36213,172,1380,2024,-38,0,-154,7431,-7883,-38339,-4594,-2811,-1354,-29580,-459,63,-522,-96,1129,-36213,10868,-31988,-32779,791,5244,-2811,-10053,124,-7883,0,-1186,-647,-85,0,-608,-154,466,0,-80,0,2598,-1445,4043,-10071
1991:Q2,28772,175,5607,890,17,0,-2,3782,920,22188,9713,4023,-1447,9899,-238,-27,-211,-72,1112,28772,1991,8071,6805,1266,6805,4023,753,-84,920,0,-370,98,-85,0,274,-100,-326,0,426,0,62,-1476,1538,7067
1991:Q3,17170,137,-1858,-3900,72,0,158,-1318,3130,18420,2496,179,991,14754,514,-47,561,-31,-12,17170,5350,11432,12183,-751,-9342,179,814,4,3130,0,-377,281,-85,0,-1602,-102,1088,0,-1523,0,4640,1102,3538,4097
1991:Q4,79063,128,25923,9798,1413,0,593,9273,4846,52609,-2120,3914,-394,51209,385,219,166,21,-3,79063,29143,19942,19119,823,24694,3914,6918,-51,4846,0,-203,18,-91,0,769,-548,1058,0,1120,0,4112,418,3694,-9660
1992:Q1,-33496,121,-17497,-10776,-1451,0,-601,-404,-4265,-16360,-19721,-2063,-773,6197,-909,340,-1249,96,1053,-33496,13198,-7621,-9897,2276,-28732,-2063,-4433,71,-4265,0,-36,-28,-48,0,153,64,-129,0,-215,0,-601,-1034,433,-3244
1992:Q2,41776,118,14129,6685,-10,0,-151,7250,355,26233,19411,1976,1844,3002,72,-49,121,180,1044,41776,7974,155,-1013,1168,29365,1976,222,-117,355,0,111,-117,-8,0,475,-260,-554,0,337,0,2172,1644,528,-88
1992:Q3,38967,85,18145,10871,51,0,321,6401,501,19096,2099,1390,1054,14553,290,166,124,195,1156,38967,23481,75,-1805,1880,12039,1390,3303,19,501,0,135,-225,-5,0,1974,-82,648,0,338,0,7103,1541,5562,-8424
1992:Q4,63168,109,-725,-17113,31,0,-317,14998,1676,62456,-7651,2583,-389,67913,-79,62,-141,142,1265,63168,63340,6943,6891,52,-29525,2583,1918,-55,1676,0,32,-267,15,0,106,269,426,0,-284,0,3919,-644,4563,13990
1993:Q1,-46637,126,-2688,-733,-35,0,90,-701,-1309,-44089,-11802,-1634,-240,-30413,20,-233,253,109,-115,-46637,-23603,-5091,-6477,1386,-7854,-1634,-536,57,-1309,0,-51,99,34,0,-679,-185,779,0,719,0,2049,-383,2432,-9969
1993:Q2,80463,132,32658,21551,-29,0,-33,9520,1649,47459,17766,2615,-568,27646,194,500,-306,97,-77,80463,19855,6496,5896,600,39150,2615,1965,-95,1649,0,-120,99,25,0,293,-160,488,0,-214,0,5360,-101,5461,5023
1993:Q3,13456,161,-3668,-11145,17,0,214,7721,-475,15307,1910,86,3830,9481,658,-10,668,71,927,13456,25325,-3573,-4056,483,-7593,86,-979,-30,-475,0,-130,100,17,0,-669,452,-379,0,135,0,9707,4034,5673,-9517
1993:Q4,70833,229,11003,-2487,85,0,-112,12581,936,59455,4207,988,-3298,57558,-845,-398,-447,32,959,70833,32213,24747,23984,763,-2954,988,4884,-6,936,0,-86,99,60,0,1159,820,628,0,1274,0,-756,-3808,3052,11711
1994:Q1,-32509,223,-5108,-8635,-75,0,64,4770,-1232,-28383,-2853,-60,1167,-26637,458,-224,682,10,291,-32509,-23308,856,-2937,3793,-4434,-60,261,63,-1232,0,-44,106,129,0,-1143,-403,153,0,2632,0,5715,1007,4708,-11540
1994:Q2,11761,210,16191,3158,-33,0,155,9924,2987,-5289,3109,1078,244,-9720,-200,123,-323,68,781,11761,-9758,2507,44,2463,6814,1078,2916,-134,2987,0,-44,108,178,0,318,-141,376,0,-732,0,6259,522,5737,1945
1994:Q3,-27031,251,433,-2498,38,0,-268,6432,-3271,-28144,-12506,-2324,638,-13952,96,-33,129,-36,369,-27031,-10213,6282,2129,4153,-15568,-2324,-1964,59,-3271,0,-44,105,179,0,1343,70,317,0,-722,0,4342,337,4005,-7587
1994:Q4,41458,215,18814,285,557,0,-91,11089,6974,21701,-6632,3212,-471,25592,67,513,-446,66,595,41458,15053,10188,8261,1927,-8544,3212,5877,-40,6974,0,-44,107,447,0,-400,-312,582,0,-1437,0,6086,-49,6135,9586
1995:Q1,-55396,232,-5402,-2592,-482,0,124,4386,-6838,-49817,-8117,-2811,-103,-38786,-633,-455,-178,-381,605,-55396,-20052,-16577,-21663,5086,-7285,-2811,-5426,114,-6838,0,-40,-116,212,0,-1598,-61,933,0,1968,0,4893,-434,5327,-8139
1995:Q2,50459,264,24622,16392,-159,0,-198,6282,2305,24652,24097,2655,-193,-1907,-202,-309,107,363,760,50459,4747,-2089,-4429,2340,45359,2655,1820,-76,2305,0,-41,-115,214,0,-452,327,378,0,-720,0,436,-700,1136,-2469
1995:Q3,-51637,270,-13708,-12354,87,0,37,-954,-524,-38520,-9424,-1133,1260,-29223,205,155,50,-224,340,-51637,-33740,9652,5936,3716,-21141,-1133,1218,77,-524,0,-40,-114,215,0,458,-505,133,0,1518,0,2485,1452,1033,-8978
1995:Q4,30161,243,12827,-2693,600,0,185,7245,7490,15755,-11304,2114,31,24914,521,528,-7,425,390,30161,2673,25112,22720,2392,-16935,2114,5349,-11,7490,0,-41,-115,224,0,-938,414,-635,0,-1039,0,2088,744,1344,9760
1996:Q1,-59363,266,-7922,1086,-584,0,-194,-2054,-6176,-51531,-2171,-4121,-457,-44782,-95,-443,348,-191,110,-59363,-13895,-24747,-29080,4333,1418,-4121,-6513,155,-6176,0,-40,-232,223,0,565,-448,265,0,-825,0,-4405,-1094,-3311,-7100
1996:Q2,24415,251,8874,646,-11,0,-19,6967,1291,13277,14528,1384,3185,-5820,163,757,-594,249,1601,24415,-18220,12428,5725,6703,18146,1384,3709,-27,1291,0,-1055,-121,221,0,1111,-353,239,0,2403,0,7670,3923,3747,-702
1996:Q3,4958,224,5489,5,46,0,79,2809,2550,-25,6434,-1840,-1063,-3556,-739,-789,50,71,-62,4958,-17257,16396,12500,3896,982,-1840,5140,44,2550,0,333,-125,224,0,1303,-106,704,240,-27,0,4769,-1773,6542,-3232
1996:Q4,23624,222,20486,5,516,0,-89,13095,6959,2610,-9110,2289,1796,7635,10,-177,187,359,-63,23624,-10224,16323,12077,4246,-9583,2289,8649,-5,6959,0,-151,-444,-2,0,280,175,1436,50,351,0,8703,1530,7173,7467
1997:Q1,-40973,191,-7838,-1733,-538,0,745,1723,-8035,-34967,-4656,-2581,-18,-27712,3,-86,89,-85,1723,-40973,-26831,6534,2061,4473,-1208,-2581,-10500,82,-8035,0,295,-885,540,0,-2113,390,23,94,-891,0,3367,641,2726,-9755
1997:Q2,38130,117,18605,10453,-36,0,-731,7663,1256,17256,10215,2578,1941,2522,856,660,196,174,1122,38130,-4815,-598,-6796,6198,18185,2578,11771,-181,1256,0,-171,566,280,0,3467,2080,1168,-12,3318,0,6195,1870,4325,4815
1997:Q3,-40261,128,-4178,-8764,77,0,-2,4387,124,-36744,-732,19,-845,-35186,-602,-366,-236,-288,1423,-40261,-33662,9232,4070,5162,-9013,19,-2765,34,124,0,106,-384,826,0,-2315,-1060,-1094,125,873,0,4749,-1213,5962,-8821
1997:Q4,51745,141,22488,-2278,511,0,271,17511,6473,28076,-5732,2217,3327,28264,562,174,388,622,-144,51745,29387,-3340,-9858,6518,-8506,2217,11621,-66,6473,0,67,4541,-276,0,-1191,-93,-496,-69,2731,0,13184,3772,9412,7182
1998:Q1,-43884,121,-8226,86,-544,0,-287,-261,-7220,-39391,-6088,-3568,-272,-29463,-514,50,-564,126,4000,-43884,-34995,13252,12992,260,-4068,-3568,-7216,67,-7220,0,-526,-4729,-327,0,1352,-300,1056,166,3245,0,-568,-509,-59,-6722
1998:Q2,52795,122,21277,12589,-57,0,34,8082,629,32502,26819,2622,-1072,4133,539,-16,555,217,-1862,52795,5077,1640,875,765,44871,2622,556,-135,629,0,-115,1284,-341,0,944,441,506,35,-2692,0,779,-1054,1833,-2750
1998:Q3,-47135,205,-2862,-13300,56,0,146,9451,785,-42990,-18474,-1990,-2222,-20304,-519,-65,-454,81,-1050,-47135,-10769,-1260,-3543,2283,-35311,-1990,2743,25,785,0,207,-438,-346,0,139,263,-1463,-128,3699,0,4366,-2141,6507,-4915
1998:Q4,46376,279,25158,1127,1247,0,-180,20105,2859,14550,-16879,3693,784,26952,261,-261,522,779,5349,46376,58861,-23079,-25882,2803,-22176,3693,9312,-59,2859,0,213,1011,150,0,2224,2451,991,28,-556,0,5909,343,5566,13856
1999:Q1,-37961,368,-2124,-662,-1403,0,3,3440,-3502,-35708,3261,-3277,-1948,-33744,298,272,26,-658,-137,-37961,-11845,-10213,-8969,-1244,6703,-3277,-10753,70,-3502,0,-795,-2858,-269,0,-2373,-1663,1597,-41,-919,0,-199,-1673,1474,-8376
1999:Q2,34661,366,15414,1301,-2,0,245,11874,1996,19220,25625,1565,924,-8894,-1017,-395,-622,520,158,34661,-28198,18867,18836,31,31466,1565,9126,-117,1996,0,442,1301,428,0,1850,-562,614,-8,3182,0,3182,774,2408,-1347
1999:Q3,-8358,453,11343,-76,-34,0,-169,11153,469,-19981,3973,28,-95,-23887,283,-57,340,-298,-158,-8358,-15868,8154,5613,2541,2981,28,-539,-13,469,0,-516,-120,330,0,-80,448,-236,86,-907,0,3578,-321,3899,-6692
1999:Q4,148151,556,106369,21777,1061,0,-171,58167,25535,37335,3545,4847,588,28355,990,735,255,436,2465,148151,35081,17873,14094,3779,25021,4847,39362,-91,25535,0,1109,1539,884,0,-145,8932,-467,89,1977,0,17778,1152,16626,8189
2000:Q1,-135570,990,-91138,-23980,-1062,0,53,-34781,-31368,-50125,-12058,-3145,529,-35451,-888,-470,-418,-344,5935,-135570,-34939,-5195,-12319,7124,-39813,-3145,-43687,276,-31368,0,-1099,-1428,346,0,1875,-11052,377,-114,-1594,94,-8465,112,-8577,-326
2000:Q2,8414,976,8687,1753,15,0,-20,5134,1805,-1460,11190,1189,588,-14427,1071,579,492,5,-865,8414,-36748,20497,15887,4610,11366,1189,6134,216,1805,0,-399,1661,595,0,1678,541,287,-101,-149,0,1141,1147,-6,4835
2000:Q3,-37380,832,-967,2359,-25,0,34,-837,-2498,-36362,-9360,-1800,2607,-27809,-1282,-997,-285,-66,465,-37380,-38111,24011,24412,-401,-5079,-1800,-8238,132,-2498,0,376,-2021,1133,0,-222,-93,1062,80,-6187,0,1280,1644,-364,-9443
2000:Q4,28876,832,22481,-3044,1198,0,77,14353,9897,4204,-22949,4615,-1361,23899,701,553,148,306,352,28876,9026,4018,6926,-2908,-31537,4615,24306,118,9897,0,640,1357,1235,0,-2621,2909,844,48,9548,331,4859,-731,5590,13589
2001:Q1,-57926,628,-9212,536,-1133,0,-146,-78,-8391,-52769,-24003,-3996,-2044,-22726,-505,-176,-329,-16,3948,-57926,22968,-58274,-63492,5218,5196,-3996,10460,230,-8391,0,6919,13232,-1200,0,-1622,70,534,63,625,0,-1443,-2366,923,-32836
2001:Q2,31661,399,11973,1497,22,0,32,9251,1171,20094,13821,3800,3678,-1205,-163,-2587,2424,351,-993,31661,-23118,9665,5706,3959,18080,3800,19977,-53,1171,0,1244,6569,141,0,4978,757,-986,44,6112,0,2896,1123,1773,361
2001:Q3,24780,287,18070,2586,-75,0,507,15566,-514,4627,-1346,-801,-452,7226,431,-110,541,0,1365,24780,-1501,-3953,-1650,-2303,2407,-801,27852,15,-514,0,1906,5651,138,0,78,3118,877,-78,16661,0,9438,-55,9493,-8662
2001:Q4,114982,60,28162,-3148,630,0,-548,20555,10673,84244,11106,6489,-3642,70291,592,481,111,2762,-838,114982,79371,219,6298,-6079,15412,6489,4954,-94,10673,0,-506,7020,112,0,-1921,-1690,-1113,93,-6607,-1013,7896,-3709,11605,641
2002:Q1,-109401,613,-3433,-966,-619,0,193,10371,-12412,-103898,-37949,-746,-1185,-64018,-1001,-482,-519,-301,-1381,-109401,-60665,6682,5986,696,-41875,-746,-13615,47,-12412,0,3902,-1889,6,0,678,545,-502,76,-4066,0,2163,-1474,3637,-1346
2002:Q2,39814,365,17915,2407,10,0,-164,14031,1631,13082,27612,2593,712,-17835,-638,-741,103,2043,7047,39814,-7105,369,-309,678,29967,2593,3748,-146,1631,0,275,-538,68,0,-1931,1349,541,-137,2636,0,7019,-193,7212,3224
