1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2012:Q2,82913565,25282815,57630750,9059334,7571444,4237084,3334360,400203,1002895,26308,89463,1815491,1255379,15428196,9005181,6423015,974006,2015601,130292,150758,3152358,24316397,13895151,69018414,9.131731016276039,13.137853911757622,18.607566066119,26.77077152122941
2012:Q3,84847015,25594553,59252462,9127843,7832281,4326326,3505955,417920,1053090,27750,92649,1914546,1252516,16335687,9547425,6788262,1021793,2125381,137732,157029,3346327,24704135,13903720,70943295,9.231062639489632,13.21849056608935,19.253107069415535,27.569633541025134
2012:Q4,85836055,25840303,59995752,9472007,7795610,4201128,3594482,426612,1078346,28648,92631,1968245,1316274,16461971,9623047,6838924,1017585,2134092,138312,155915,3393020,24949890,13876044,71960011,9.081976453510402,12.99360380100272,19.17838702239208,27.438560734754446
2013:Q1,88632011,26309320,62322691,9457779,7658055,3980272,3677783,432060,1099494,26886,93216,2026127,1295787,18404251,10917179,7487072,1102607,2331224,157254,166048,3729939,25506819,13841938,74790073,8.640281393567133,12.287747874380972,20.764789509112717,29.530577365516635
2013:Q2,89884972,26929424,62955548,9487730,7005267,3485763,3519504,410695,1066335,24716,88453,1929305,1352024,18822056,11211490,7610566,1109679,2387365,163293,167556,3782673,26288471,13864535,76020437,7.7935906212205115,11.12732233453576,20.940158744953617,29.897374318970403
2013:Q3,92483018,27594954,64888064,9617333,6815432,3359118,3456314,400837,1063465,23401,85939,1882672,1340732,19992523,11805732,8186791,1185896,2570450,174197,178989,4077259,27122044,13919170,78563848,7.369387557731767,10.50336779622331,21.617507304333593,30.8107869583732
2013:Q4,94878144,27973902,66904242,9712741,6658911,3212867,3446044,397180,1068940,23634,85269,1871021,1383749,21453221,12519716,8933505,1290177,2813017,200731,193247,4436333,27695620,14089291,80788853,7.018382144313873,9.952897624561983,22.611341507487232,32.06556191306258
2014:Q1,96559259,28243130,68316129,9928706,6708900,3226450,3482450,394729,1083541,21787,83766,1898627,1428199,22347383,13247003,9100380,1296371,2846803,206521,191839,4558846,27902941,14082660,82476599,6.947961621053901,9.820375314422474,23.143697508816864,32.71172296221912
2014:Q2,98813374,28804750,70008624,9943468,6881684,3291163,3590521,403635,1116937,22578,83903,1963468,1408743,23434434,13975465,9458969,1326908,2956794,216237,194242,4764788,28340296,14156068,84657306,6.964324409767521,9.829765991970236,23.71585202142647,33.4736382101704
2014:Q3,99486925,29297167,70189758,10086437,6895894,3311526,3584368,399281,1121737,22421,81578,1959351,1443861,23008558,13728136,9280422,1297375,2907280,219523,185610,4670634,28755008,14150231,85336694,6.931457513670372,9.824644110373553,23.12721769031412,32.78050577708223
2014:Q4,101111361,29656129,71455232,10214466,6925098,3268503,3656595,408257,1141432,24022,81041,2001843,1434171,23811754,14327226,9484528,1322424,2986305,224380,185966,4765453,29069743,14217224,86894137,6.848980926244226,9.691519628865555,23.550028039235762,33.32401731884294
2015:Q1,102716957,30130433,72586524,10501773,7044452,3295630,3748822,415402,1162360,24650,83852,2062558,1431069,24225801,14501129,9724672,1330823,3047481,232182,193226,4920960,29383429,14192718,88524239,6.858119674602705,9.704903145783339,23.585006364678012,33.375066829107716
2015:Q2,103655118,30715175,72939943,10551279,6912912,3182727,3730185,409298,1152933,24330,82916,2060708,1405522,24298597,14537688,9760909,1323784,3051845,231843,192761,4960676,29771632,14321062,89334056,6.669147038971221,9.477539931242292,23.44177274353187,33.31315623087572
2015:Q3,102796972,31205820,71591152,10664727,7229433,3530382,3699051,403032,1152777,24074,81075,2038093,1376078,22304547,13393786,8910761,1224845,2799022,213988,173016,4499890,30016368,14442395,88354577,7.032729366677974,10.098221128938425,21.697668811472678,31.1554513499246
2015:Q4,104299859,31558804,72741055,10930689,6980003,3306624,3673379,401124,1144600,24789,81220,2021646,1359516,23289369,13953554,9335815,1294444,2942741,226553,182710,4689367,30181476,14448833,89851026,6.692246361292886,9.595686415487666,22.329243594665876,32.01681585853277
2016:Q1,105467577,31858226,73609351,11171274,7208311,3428784,3779527,407377,1208883,25628,66559,2071080,1399397,23520465,14261107,9259358,1270083,2985823,224337,144879,4634236,30309904,14467560,91000017,6.834622596048845,9.792656419204214,22.30113353881389,31.953094034870027
2016:Q2,107315000,32564009,74750991,11102853,7452969,3515478,3937491,421131,1260559,26745,67146,2161910,1401545,24067346,14708915,9358431,1274334,3025061,227006,141524,4690506,30726278,14597413,92717587,6.9449464978448745,9.970395362669004,22.426823440802572,32.196691004453726
2016:Q3,109176108,33207882,75968226,11301186,7391249,3352456,4038793,429919,1293187,27464,66634,2221589,1369777,24821724,15099371,9722353,1313324,3147355,236582,142415,4882677,31084290,14765075,94411033,6.770024483433142,9.729395622554856,22.73549065321622,32.673823230527645
2016:Q4,109965675,33670588,76295087,11422517,7106740,3196034,3910706,417599,1262250,26162,56894,2147801,1343043,25212935,15404748,9808187,1317070,3210979,246885,126567,4906686,31209851,14867203,95098472,6.462689627106885,9.314807233933085,22.928005004954986,33.046604309143696
