1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q1,578,152,4727,-577,0,0,3157,1410,152,48,73,1474,1255,444,811,0,515,16,0,70,0,0,0,291,0,154,0,137,3695,3689,0,0,2,1749,1316,0,177,445,0,0,414,0,31,6,0,6,0,-606,0,3223,0,0,0
1974:Q2,666,157,3416,-42,0,0,719,-532,-247,5,92,1401,1707,662,1045,1,587,15,0,102,0,0,0,327,0,185,0,142,3801,3853,0,0,-14,1705,1543,0,-215,834,0,0,405,0,429,-52,0,-52,0,893,0,3418,0,0,0
1974:Q3,722,164,3845,51,0,0,829,-8,-22,52,41,766,2072,870,1202,0,327,17,0,199,0,0,0,350,0,193,0,157,3911,3964,0,0,-13,1728,1609,0,76,564,0,0,415,0,149,-53,0,-53,0,624,0,3511,0,0,0
1974:Q4,639,172,4549,496,0,0,685,196,45,76,49,319,2494,687,1807,1,518,16,0,-20,0,0,0,359,0,178,0,181,4090,4121,0,0,-35,1822,1515,0,-50,869,0,0,436,0,433,-31,0,-31,0,8,0,3505,0,0,0
1975:Q1,697,208,5094,-385,0,0,3110,612,213,45,29,2211,1476,464,1012,1,562,16,0,-78,0,0,0,392,0,172,0,220,4727,4696,0,0,8,1903,2084,0,155,546,0,0,463,0,83,31,0,31,0,123,0,4154,0,0,0
1975:Q2,585,207,4124,-67,0,0,1974,86,127,69,87,1605,1103,382,721,0,731,18,0,-80,0,0,0,445,0,173,0,272,4563,4532,0,0,8,1970,1860,0,-233,927,0,0,495,0,432,31,0,31,0,816,0,4002,0,0,0
1975:Q3,606,208,5352,-252,0,0,3967,1626,109,103,382,1747,755,391,364,1,381,17,0,59,0,0,0,424,0,165,0,259,4895,4864,0,0,8,2020,2056,0,55,725,0,0,494,0,231,31,0,31,0,-59,0,4242,0,0,0
1975:Q4,684,210,5831,630,0,0,3311,-1581,915,137,343,3497,1205,368,837,1,377,17,0,-42,0,0,0,332,0,148,0,184,5713,5683,0,0,8,2051,2663,0,-67,1028,0,0,458,0,570,30,0,30,0,355,0,4862,0,0,0
1976:Q1,597,210,6811,-629,155,0,5398,434,336,223,506,3899,555,296,259,1,1019,18,0,-64,0,0,0,358,0,158,0,200,6307,6264,0,0,12,2087,3220,0,193,752,0,0,557,0,195,43,0,43,0,-117,0,5466,0,0,0
1976:Q2,671,218,5914,125,-66,0,4274,806,-116,6,182,3396,652,373,279,0,602,20,0,-20,0,0,0,327,0,143,0,184,7010,6966,0,0,11,2126,3756,0,-203,1276,0,0,576,0,700,44,0,44,0,1549,0,6041,0,0,0
1976:Q3,807,226,7235,-339,10,0,5652,211,463,442,210,4326,854,358,496,1,709,19,0,1,0,0,0,328,0,151,0,177,7277,7233,0,0,11,2168,4006,0,128,920,0,0,578,0,342,44,0,44,0,623,0,6330,0,0,0
1976:Q4,870,235,8172,616,206,0,4547,-1040,-51,228,188,5222,1693,340,1353,-12,744,32,0,-11,0,0,0,357,0,179,0,178,7127,7061,0,0,-11,2215,3969,0,15,873,0,0,571,0,302,66,0,66,0,-410,0,6338,0,0,0
1977:Q1,685,233,7464,-741,185,0,6241,1500,174,229,118,4220,703,414,289,1,451,20,0,43,0,0,0,561,0,207,0,354,7317,7273,0,0,11,2248,3878,0,78,1058,0,0,728,0,330,44,0,44,0,306,0,6405,0,0,0
1977:Q2,732,240,7514,163,-161,0,5194,261,-205,138,93,4907,1551,461,1090,1,199,20,0,-25,0,0,0,572,0,236,0,336,7546,7528,0,0,5,2265,4047,0,104,1107,0,0,817,0,290,18,0,18,0,524,0,6662,0,0,0
1977:Q3,838,245,7895,113,-5,0,5358,942,382,355,225,3454,1668,432,1236,0,150,22,0,21,0,0,0,568,0,242,0,326,7942,7923,0,0,4,2336,4320,0,111,1152,0,0,837,0,315,19,0,19,0,640,0,7021,0,0,0
1977:Q4,949,253,8404,651,72,0,3674,-3031,-404,962,21,6126,3094,415,2679,-1,337,23,0,14,0,0,0,540,0,224,0,316,8408,8366,0,0,-19,2461,4577,0,97,1250,0,0,789,0,461,42,0,42,0,700,0,7361,0,0,0
1978:Q1,876,286,8949,-760,85,0,7609,2888,-240,603,-49,4407,1524,451,1073,2,-24,32,0,27,0,0,0,454,0,250,0,204,8474,8456,0,0,5,2603,4599,0,92,1157,0,0,801,0,356,18,0,18,0,116,0,7520,0,0,0
1978:Q2,971,313,8136,162,-52,0,4934,-322,-151,290,-59,5176,2549,609,1940,1,65,34,0,-33,0,0,0,476,0,256,0,220,8883,8834,0,0,13,2762,4808,0,97,1154,0,0,803,0,351,49,0,49,0,1405,0,7891,0,0,0
1978:Q3,1067,332,10085,-107,142,0,6481,1565,189,936,130,3661,2941,634,2307,1,119,35,0,-23,0,0,0,496,0,269,0,227,9008,8958,0,0,12,2797,4888,0,84,1177,0,0,792,0,385,50,0,50,0,-342,0,7989,0,0,0
1978:Q4,1118,353,8340,679,340,0,2064,-2678,-291,712,329,3992,4894,896,3998,-2,-304,40,0,61,0,0,0,568,0,290,0,278,8900,8827,0,0,-10,2706,4838,0,56,1237,0,0,761,0,476,73,0,73,0,1326,0,7807,0,0,0
1979:Q1,1137,419,9465,-988,-112,0,6808,1731,535,578,-312,4276,3179,1019,2160,1,-123,37,0,22,0,0,0,641,0,316,0,325,8807,8758,0,0,13,2650,4781,0,33,1281,0,0,770,0,511,49,0,49,0,60,0,7657,0,0,0
1979:Q2,1047,434,9469,343,166,0,4710,961,-153,867,-1,3036,3617,974,2643,2,-166,38,0,44,0,0,0,715,0,345,0,370,8872,8744,0,0,34,2630,4712,0,15,1353,0,0,761,0,592,128,0,128,0,17,0,7532,0,0,0
1979:Q3,1125,460,9925,-370,248,0,4689,1085,-54,1035,151,2472,4061,922,3139,1,499,40,0,29,0,0,0,728,0,350,0,378,8883,8754,0,0,33,2594,4812,0,-7,1322,0,0,730,0,592,129,0,129,0,-376,0,7574,0,0,0
1979:Q4,1183,477,8518,1253,360,0,-171,-2169,-262,358,188,1714,6077,1764,4313,-2,221,45,0,51,0,0,0,684,0,332,0,352,8845,8700,0,0,17,2539,5081,0,-38,1101,0,0,676,0,425,145,0,145,0,1033,0,7781,0,0,0
1980:Q1,1396,475,10886,-1032,-63,0,4584,-655,29,489,34,4687,6043,2070,3973,2,537,42,0,131,0,0,0,642,0,311,0,331,8800,8671,0,0,33,2490,5245,0,76,827,0,0,544,0,283,129,0,129,0,-1166,0,7876,0,0,0
1980:Q2,1505,472,8206,670,112,0,1938,894,218,-131,-124,1081,5651,2482,3169,2,-788,44,0,-21,0,0,0,598,0,285,0,313,8612,8411,0,0,53,2444,5299,0,129,486,0,0,465,0,21,201,0,201,0,1440,0,7851,0,0,0
1980:Q3,1531,488,10035,-537,692,0,5471,2782,203,564,128,1794,3327,829,2498,1,449,46,0,-31,0,0,0,617,0,299,0,318,8817,8710,0,0,27,2399,5615,0,125,544,0,0,457,0,87,107,0,107,0,-175,0,8125,0,0,0
1980:Q4,1647,512,8564,1447,109,0,1820,-836,500,841,235,1080,4224,1205,3019,-3,190,52,0,28,0,0,0,697,0,352,0,345,9560,9457,0,0,-37,2350,6190,0,66,888,0,0,517,0,371,103,0,103,0,2132,0,8687,0,0,0
1981:Q1,1621,534,12023,-878,597,0,7314,2653,1368,1112,131,2050,3636,1800,1836,2,473,49,0,98,0,0,0,732,0,419,0,313,11606,11575,0,0,7,2324,7685,0,6,1553,0,0,768,0,785,31,0,31,0,670,0,10182,0,0,0
1981:Q2,1710,560,11001,219,1233,0,5322,1293,-254,1411,124,2748,3470,1728,1742,2,-71,50,0,69,0,0,0,707,0,501,0,206,10409,10304,0,0,28,2315,6005,0,-51,2007,0,0,804,0,1203,105,0,105,0,558,0,8510,0,0,0
1981:Q3,1479,586,12897,573,1098,0,5624,3190,240,655,88,1451,3480,2103,1377,3,1006,51,0,222,0,0,0,840,0,486,0,354,13126,13038,0,0,23,2230,8712,0,-57,2130,0,0,821,0,1309,88,0,88,0,1123,0,11152,0,0,0
1981:Q4,1272,622,9903,604,1322,0,2314,286,975,-29,107,975,3375,1664,1711,0,959,56,0,142,0,0,0,1131,0,377,0,754,11435,11026,0,0,49,2068,7110,0,-12,1811,0,0,812,0,999,409,0,409,0,2182,0,9408,0,0,0
1982:Q1,1233,648,12277,-2367,513,0,9427,1520,2904,864,350,3789,2390,1307,1083,-2,444,53,0,377,0,0,0,1442,0,279,0,1163,11748,11639,0,0,3,1882,7880,0,33,1841,0,0,909,0,932,109,0,109,0,56,0,10008,0,0,0
1982:Q2,1146,638,14113,798,937,0,6969,1547,-119,1117,375,4049,2199,1357,842,-26,303,34,0,401,0,0,0,2498,0,193,0,2305,16514,16348,0,0,91,1670,9593,0,73,4921,0,0,888,0,4033,166,0,166,0,2910,0,11522,0,0,0
1982:Q3,1113,621,13793,59,488,0,7800,1728,1753,1033,365,2921,1858,1053,805,-22,1465,11,0,223,0,0,0,1911,0,155,0,1756,15195,15217,0,0,-15,1635,11901,0,74,1622,0,0,918,0,704,-22,0,-22,0,1894,0,13820,0,0,0
1982:Q4,1220,609,15719,1788,-792,0,10640,-624,3824,1327,806,5307,2050,538,1512,-5,186,22,0,14,0,0,0,1816,0,166,0,1650,13999,13974,0,0,48,1776,10307,0,37,1806,0,0,999,0,807,25,0,25,0,-1110,0,12405,0,0,0
1983:Q1,1333,645,14521,-2134,268,0,11929,3002,3186,685,172,4884,1806,466,1340,-22,1455,7,0,-65,0,0,0,1277,0,150,0,1127,10275,10245,0,0,-9,1885,6271,0,1,2097,0,0,913,0,1184,30,0,30,0,-3558,0,8518,0,0,0
1983:Q2,1206,651,14327,473,-1120,0,9751,385,2373,946,633,5414,1680,284,1396,-13,1598,64,0,-288,0,0,0,2182,0,145,0,2037,12078,12090,0,0,30,1963,7850,0,-31,2278,0,0,996,0,1282,-12,0,-12,0,-1693,0,10221,0,0,0
1983:Q3,998,681,14891,-434,-681,0,10111,1600,2425,1886,170,4030,2780,149,2631,-6,277,45,0,-71,0,0,0,2870,0,140,0,2730,11728,11741,0,0,33,1991,7402,0,-36,2351,0,0,1023,0,1328,-13,0,-13,0,-2845,0,9816,0,0,0
1983:Q4,673,720,14997,1183,-91,0,8483,-1560,4123,3712,-36,2244,3846,203,3643,-16,103,61,0,40,0,0,0,1388,0,149,0,1239,15469,15406,0,0,-10,1971,11139,0,-16,2322,0,0,997,0,1325,63,0,63,0,426,0,13521,0,0,0
1984:Q1,183,762,13149,-1279,371,0,13167,3534,2250,2231,-972,6124,423,121,302,-20,229,-7,0,165,0,0,0,100,0,-150,0,250,13865,13987,0,0,-44,1172,9528,0,0,3331,0,0,1044,0,2287,-122,0,-122,0,137,0,11062,0,0,0
1984:Q2,6,803,15746,595,119,0,11239,1616,866,2444,-302,6615,2371,141,2230,-21,-225,27,0,57,0,0,0,1584,0,-349,0,1933,15018,15079,0,0,41,1066,10048,0,2,3922,0,0,987,0,2935,-61,0,-61,0,-1526,0,11450,0,0,0
1984:Q3,58,834,16812,-654,1318,0,12636,1559,3283,2685,-268,5377,1955,114,1841,-13,497,46,0,-11,0,0,0,1038,0,-345,0,1383,15725,15803,0,0,-23,1303,10571,0,17,3935,0,0,968,0,2967,-78,0,-78,0,-1863,0,12202,0,0,0
1984:Q4,54,859,20855,1870,558,0,12900,-2565,6169,3647,269,5380,1393,66,1327,6,-242,197,0,239,0,0,0,3934,0,-147,0,4081,24440,23456,0,0,227,1412,18789,0,42,2986,0,0,1025,0,1961,984,0,984,0,2781,0,20562,0,0,0
1985:Q1,190,1042,17997,-1540,-116,0,15482,2669,1461,3028,178,8146,1746,-25,1771,2,1588,-57,0,434,0,0,0,458,0,-37,0,495,14582,14592,0,0,-31,2074,8812,0,68,3669,0,0,906,0,2763,-10,101,-111,0,-4267,0,11334,0,0,0
1985:Q2,273,1056,22488,103,431,0,14346,-415,2354,2963,23,9421,3592,-52,3644,-20,1282,111,0,559,0,0,0,2084,0,109,0,1975,20618,20443,0,0,39,2374,14102,0,90,3838,0,0,985,0,2853,175,115,60,0,-2654,0,16975,0,0,0
1985:Q3,122,1045,21624,832,-354,0,16462,1177,1596,4707,130,8852,2569,-77,2646,16,299,-1,0,765,0,0,0,1036,0,99,0,937,17614,17434,0,0,111,2757,12256,0,109,2201,0,0,993,0,1208,180,-150,330,0,-4933,0,15538,0,0,0
1985:Q4,-146,1067,28236,5092,-1871,0,14993,-3674,5085,1800,664,11118,7055,18,7037,33,1652,-9,0,-657,0,0,0,1948,0,-70,0,2018,27540,27753,0,0,349,3220,20457,0,125,3602,0,0,925,0,2677,-213,-146,-67,0,-1910,0,24200,0,0,0
1986:Q1,-923,1127,17864,-1491,356,0,17866,-364,1927,4132,315,11856,3198,-1,3199,25,-4317,-80,0,2897,0,0,0,-590,0,-241,0,-349,18270,18691,0,0,-54,3896,5757,0,154,8938,0,0,999,4008,3931,-421,-77,-344,0,-1643,0,14212,0,0,0
1986:Q2,-1461,1090,22623,902,-67,0,13778,752,-829,2385,768,10702,5501,1,5500,18,-2482,-363,0,2503,0,0,0,2833,0,-420,0,3253,22210,21583,0,0,49,4095,14592,0,194,2653,0,0,991,2904,-1242,627,514,113,0,-2964,0,22200,0,0,0
1986:Q3,-1505,1078,31868,255,32,0,17352,3977,2234,835,857,9449,5460,-24,5484,4,4296,72,0,1730,0,0,0,2667,0,-419,0,3086,27942,27068,0,0,325,4495,20442,0,189,1617,0,30,935,2434,-1782,874,-298,1172,0,-6509,0,27974,0,0,0
1986:Q4,-1249,1094,31468,2323,-719,0,16815,1056,4001,3256,11,8491,7572,-290,7862,-4,436,62,0,3108,0,0,0,1875,0,-244,0,2119,34514,33380,0,0,217,4716,22586,0,138,5723,0,0,832,4581,310,1134,431,703,0,703,0,32323,0,0,0
1987:Q1,-2469,1108,26398,-1554,-883,0,19317,684,2220,2780,-1001,14634,1557,-344,1901,4,6447,7,0,-1525,0,0,0,3028,0,-29,0,3057,29759,29726,0,0,245,6938,6138,0,89,16316,0,0,1275,8688,6353,33,-246,279,0,-216,0,22419,0,0,0
1987:Q2,-2212,1133,22084,-299,-882,0,15202,-1953,-3612,1988,286,18493,4463,-176,4639,8,916,4,0,-924,0,0,0,3596,0,340,0,3256,22916,22785,0,0,105,5893,6925,0,38,9824,0,0,1413,8182,229,131,-158,289,0,-2513,0,21754,0,0,0
1987:Q3,-1867,1175,29910,510,-609,0,22589,3296,-395,2910,-736,17514,4023,142,3881,5,37,29,0,-1056,0,0,0,4382,0,310,0,4072,31224,31574,0,0,260,6275,9368,0,32,15639,0,0,1307,8887,5445,-350,-223,-127,0,-1728,0,25155,0,0,0
1987:Q4,-1170,1195,37997,604,-685,0,22224,-2031,742,459,658,22396,12706,899,11807,6,-856,-8,0,1296,0,0,0,2710,0,901,0,1809,36568,36330,0,0,-665,10920,18421,0,142,7512,0,0,2366,7786,-2640,238,-227,465,0,-3794,0,37902,0,0,0
1988:Q1,-221,1223,32831,-2203,988,0,24774,2679,61,1754,-105,20385,3612,-426,4038,14,329,71,0,178,0,0,0,5068,0,-137,0,5205,32826,32648,0,0,-46,5940,27130,0,90,-466,0,0,1853,-4344,2025,178,-118,296,0,-1449,0,29704,0,0,0
1988:Q2,886,1261,28020,-79,385,0,20917,1454,1309,2625,-528,16057,5262,588,4674,5,-999,-44,0,766,0,0,0,1807,0,55,0,1752,28987,29104,0,0,-80,6694,19131,0,98,3261,0,0,1555,520,1186,-117,111,-228,0,592,0,27042,0,0,0
1988:Q3,353,1275,26112,-904,724,0,20693,2985,283,1670,-523,16278,5388,384,5004,1,-769,92,0,990,0,0,0,-103,0,161,0,-264,22230,21962,0,0,136,6113,19247,0,119,-3653,0,0,1181,-5689,855,268,-58,326,0,-4804,0,20031,0,0,0
1988:Q4,144,1302,31123,-119,992,0,20451,-1790,111,3169,-373,19334,8592,342,8250,26,-892,-152,0,470,0,0,0,1755,0,349,0,1406,36011,35160,0,0,-63,7909,20302,0,157,6855,0,0,1204,5499,152,851,-68,919,0,3730,0,34075,0,0,0
1989:Q1,276,1517,26498,-229,-877,0,19685,3540,-1591,5914,-302,12124,4752,785,3967,13,1900,-112,0,-573,0,0,0,1939,0,-94,0,2033,24650,24360,0,0,418,3806,10170,0,206,9760,0,0,1163,6191,2406,290,-198,488,0,-3089,0,20482,0,0,0
1989:Q2,298,1547,32336,777,-1183,0,22262,-2859,-2058,8094,-15,19100,5982,950,5032,5,2090,-103,0,-1396,0,0,0,3902,0,109,0,3793,33682,33828,0,0,9,8029,19828,0,262,5700,0,0,745,2805,2150,-146,-91,-55,0,97,0,30894,0,0,0
1989:Q3,-142,1607,24860,667,-875,0,14736,85,-2348,6506,154,10339,6017,655,5362,2,3198,-179,0,-1280,0,0,0,2574,0,126,0,2448,24604,24393,0,0,33,5681,11183,0,265,7231,0,0,674,4136,2421,211,-170,381,0,-2005,0,21141,0,0,0
1989:Q4,-211,1612,30839,3878,1863,0,20205,2904,156,5057,43,12045,8064,825,7239,61,1493,202,0,-19,0,0,0,-4908,0,673,0,-5581,36824,36832,0,0,8,10801,18633,0,207,7183,0,0,2116,2439,2628,-8,-175,167,0,4162,0,33624,0,0,0
1990:Q1,-352,1780,33649,278,1827,0,23044,-1371,6417,4157,305,13536,10098,3777,6321,8,1442,72,0,1479,0,0,0,-4599,0,-353,0,-4246,30223,30250,0,0,74,6685,18858,0,155,4478,0,0,563,5531,-1616,-27,-357,330,0,-5557,0,31124,0,0,0
1990:Q2,-497,1775,37308,-1192,1337,0,27087,4883,-197,3998,1681,16722,6887,2104,4783,-4,1336,-10,0,1779,0,0,0,88,0,14,0,74,41200,41592,0,0,-38,7188,34694,0,93,-345,0,0,1020,-686,-679,-392,-234,-158,0,1620,0,41824,0,0,0
1990:Q3,-644,1786,27075,-1819,2558,0,26338,2578,990,6655,879,15236,-1190,-2533,1343,35,-153,360,0,2541,0,0,0,-1595,0,-39,0,-1556,20329,20734,0,0,-25,7256,7402,0,102,5999,0,0,1413,7171,-2585,-405,-445,40,0,-9176,0,22950,0,0,0
1990:Q4,-1057,1769,20776,-2041,2221,0,14549,-3032,-771,6038,510,11804,3030,989,2041,-33,4374,159,1,-2790,0,0,0,1306,0,493,0,813,25935,24826,0,0,252,5837,17117,0,171,1449,0,0,2072,2156,-2779,1109,-319,1428,0,2334,0,26304,0,0,0
1991:Q1,-144,1814,41223,-647,2015,0,30507,5866,3939,8167,1736,10799,4605,3349,1256,13,-8302,138,0,-421,0,0,0,13315,0,-126,0,13441,21789,21555,0,0,-68,6147,5775,0,229,9472,0,0,1295,1764,6413,234,-111,345,0,-21392,0,14701,0,0,0
1991:Q2,55,1806,38076,98,134,0,34337,2079,2143,16987,-2734,15862,3390,605,2785,-24,1894,13,0,843,0,0,0,-2609,0,-223,0,-2386,35842,35941,0,0,144,8211,15507,0,279,11800,0,0,1299,4729,5772,-99,-62,-37,0,-3986,0,29459,0,0,0
1991:Q3,201,1779,26879,281,-335,0,20063,2903,7354,3414,598,5794,-150,1343,-1493,-8,-255,-155,0,1058,0,0,0,6380,0,-223,0,6603,25836,24782,0,0,162,4730,12275,0,308,7307,0,0,1297,5832,178,1054,-79,1133,0,-2621,0,23840,0,0,0
1991:Q4,401,1773,119,18,-320,0,5438,-10740,5658,15836,-1713,-3603,-10841,-249,-10592,36,5125,539,0,1883,0,0,0,-1759,0,-130,0,-1629,24298,24131,0,0,-703,5829,13755,0,320,4930,0,0,1298,5390,-1758,167,161,6,0,22808,0,25973,0,0,0
1992:Q1,-502,2043,30410,-28,340,0,25687,2522,2639,7709,-90,12907,-416,577,-993,50,3272,124,7,3028,0,0,0,-1654,0,-57,0,-1597,24690,24398,0,1,19,7644,9462,0,333,6939,0,0,1944,2162,2833,292,-7,299,0,-8265,0,20804,0,0,0
1992:Q2,-193,2095,27825,-117,-252,0,25455,487,2107,5385,149,17327,-2901,1131,-4032,13,1722,173,16,3195,0,0,0,521,0,-15,0,536,26256,25947,0,3,109,4046,17879,0,353,3557,0,0,1928,1414,215,309,-59,368,0,-3858,0,24865,0,0,0
1992:Q3,13,2132,26409,-225,-79,0,26133,-1772,4006,9188,478,14233,-3856,1519,-5375,-6,780,-31,0,2451,0,0,0,1242,0,33,0,1209,27014,26566,0,46,-67,9358,14354,0,371,2504,0,0,1907,250,347,448,556,-108,0,-1514,0,25514,0,0,0
1992:Q4,-478,2194,18927,-267,-303,0,22551,-3815,2618,7522,654,15572,-4447,2727,-7174,22,1559,-21,0,2854,0,0,0,-3021,0,87,0,-3108,37057,36475,0,-43,135,7305,30032,0,385,-1339,0,0,1892,-3843,612,582,120,462,0,15458,0,34943,0,0,0
1993:Q1,-1065,1888,42572,99,-442,0,38183,3241,7492,6496,129,20825,-1530,840,-2370,21,-57,65,6,5110,0,0,0,1117,0,118,0,999,34933,35472,0,33,-128,7776,17791,0,405,9595,0,0,1597,5381,2617,-539,403,-942,0,-10592,0,32270,0,0,0
1993:Q2,-1182,1924,44065,99,-15,0,33893,3290,5693,10157,1073,13680,-1160,1016,-2176,27,1238,-270,3,6160,0,0,0,4090,0,120,0,3970,35819,35304,0,148,206,8454,20107,0,450,5939,0,0,1479,2171,2289,515,63,452,0,-11352,0,32047,0,0,0
1993:Q3,-1288,1943,37545,100,273,0,33411,-1857,7283,7913,1394,18678,-2747,1924,-4671,-23,3601,-22,1,9068,0,0,0,-6117,0,120,0,-6237,39748,40578,0,-35,129,9217,24885,0,436,5946,0,0,2758,1663,1525,-830,-1035,205,0,-1028,0,38180,0,0,0
1993:Q4,-1662,2007,25530,99,116,0,20639,-944,1344,6198,857,13184,-7093,2110,-9203,152,6573,-95,3,7726,0,0,0,-2590,0,123,0,-2713,28960,29835,0,99,915,8920,11935,0,368,7598,0,0,349,4679,2570,-875,-268,-607,0,-239,0,25668,0,0,0
1994:Q1,1281,2319,46405,106,1396,0,23851,2567,-3332,6065,-133,18684,-1741,1534,-3275,94,4452,5,11,6939,0,0,0,11292,0,138,0,11154,31037,30796,0,9,51,6959,13705,0,299,9773,0,0,1644,7185,944,241,-209,450,0,-16406,0,29136,0,0,0
1994:Q2,2279,2368,11280,108,706,0,8871,50,2695,-1649,-1617,9392,610,2579,-1969,14,4180,246,2,6205,0,0,0,-9662,0,148,0,-9810,17056,17266,0,6,0,6558,3114,0,224,7364,0,0,814,6606,-56,-210,-238,28,0,5687,0,16698,0,0,0
1994:Q3,2861,2407,38061,105,233,0,23649,3287,3616,872,-438,16312,-151,1958,-2109,-1,3037,-116,1,3733,0,0,0,7571,0,141,0,7430,32589,32885,0,9,53,17373,10135,0,219,5096,0,0,2809,2064,223,-296,-532,236,0,-5018,0,32010,0,0,0
1994:Q4,2504,2485,22838,107,475,0,16624,190,-5906,6413,249,15678,977,1926,-949,-47,2772,392,35,3349,0,0,0,-1846,0,144,0,-1990,23006,23036,0,332,-604,5807,-1377,0,301,18577,0,-30,1535,15825,1247,-30,-767,737,0,187,0,21744,0,0,0
1995:Q1,-367,2473,44318,-116,-330,0,35516,2857,4244,8304,-1129,21240,1521,1591,-70,1,-1685,24,-4,3070,0,0,0,6321,0,181,0,6140,32773,33168,0,-8,-47,11473,12020,0,373,9357,0,0,2317,20,7020,-395,-667,272,0,-14384,0,25065,0,0,0
1995:Q2,-657,2506,33854,-115,891,0,33597,-753,696,2095,1475,30084,2187,1814,373,14,-4843,247,1,8047,0,0,0,-6172,0,190,0,-6362,41631,43044,0,39,35,13437,25876,0,433,3224,0,0,2376,-4054,4902,-1413,-1554,141,0,4614,0,36994,0,0,0
1995:Q3,-763,2535,26421,-114,273,0,14740,1566,154,3843,-453,9630,4683,2493,2190,-7,-2536,-110,1,5718,0,0,0,3773,0,194,0,3579,26107,25919,0,-13,46,7702,15512,0,460,2212,0,0,707,-32,1537,188,-135,323,0,-3613,0,23194,0,0,0
1995:Q4,-619,2587,27108,-115,351,0,12938,-10943,-3769,-4461,-823,32934,848,5268,-4420,35,-3689,205,-9,8156,0,0,0,8388,0,195,0,8193,24301,24770,0,-99,344,8943,9612,0,410,5560,0,0,1005,3183,1372,-469,-1200,731,0,-6013,0,21964,0,0,0
1996:Q1,696,1959,18329,-232,692,0,11392,8949,-2370,-4076,442,8447,1387,1804,-417,-11,798,229,35,9956,0,0,0,-5917,0,182,0,-6099,11618,13766,0,648,127,3590,8870,0,105,426,0,0,-530,718,238,-2148,-2215,67,0,-7974,0,13183,0,0,0
1996:Q2,1098,2007,14377,-121,623,0,-2077,2412,-5294,-4599,-226,5630,1106,1258,-152,5,2173,178,11,11144,0,0,0,1335,0,198,0,1137,16051,16263,0,72,37,7104,7058,0,113,1879,0,0,361,1822,-304,-212,-281,69,0,766,0,16231,0,0,0
1996:Q3,1318,2071,40648,-125,656,0,31337,-2026,1127,7959,275,24002,-1580,3021,-4601,31,1695,222,2,9516,0,0,0,-1106,0,194,0,-1300,26211,26572,0,-104,28,14184,4288,0,151,8025,0,0,683,5817,1525,-361,-768,407,0,-15190,0,24656,0,0,0
1996:Q4,1413,2136,41338,-444,724,0,24993,-6299,-8405,1487,958,37252,-2007,-1613,-394,55,-2500,130,43,8925,0,0,0,11419,0,189,0,11230,43913,49777,0,501,597,14566,30717,0,249,3147,0,0,4630,-5689,4206,-5864,-5545,-319,0,1852,0,43824,0,0,0
1997:Q1,-341,2107,39245,-885,1113,0,20113,6934,-135,-1342,117,14539,19,1648,-1629,30,1681,709,2,10243,0,0,0,6220,0,67,0,6153,10225,10258,0,191,295,10840,15779,0,-47,-16800,0,0,2141,-6262,-12679,-33,-583,550,0,-31468,0,22142,0,0,0
1997:Q2,-462,2155,48578,566,-267,0,37128,2590,471,2449,196,31422,2659,2002,657,5,706,118,5,9755,0,0,0,-2097,0,73,0,-2170,49725,46109,0,33,612,12181,27999,0,-44,5328,0,59,2800,5175,-2706,3616,536,3080,0,-1469,0,46922,0,0,0
1997:Q3,-585,2251,43389,-384,-639,0,21849,6488,2549,3240,348,9224,-1087,1007,-2094,-10,1497,-140,227,12130,0,0,0,9946,0,78,0,9868,31393,31051,0,46,81,13709,20105,0,-40,-2850,0,33,2785,3375,-9043,342,-579,921,0,-14832,0,39084,0,0,0
1997:Q4,-678,2271,27906,4541,232,0,3276,1131,-10513,-21409,2390,31677,618,-466,1084,123,2616,994,-221,10035,0,0,0,5692,0,85,0,5607,24566,27457,0,-86,991,7654,-2939,0,-37,21874,0,0,2527,5975,13372,-2891,-3343,452,0,-6289,0,12237,0,0,0
1998:Q1,-187,2551,45275,-4729,443,0,20556,2558,-2154,-401,400,20153,166,590,-424,64,2572,578,-4,11969,0,0,0,13660,0,-39,0,13699,45922,46661,0,1,92,6778,20594,0,303,18893,0,7,1010,4226,13650,-739,-903,164,0,-2091,0,32207,0,0,0
