1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q1,4865133,244283,144020,13489,56959,3905,131903,15860,56231,15167,44494,151,148682,85331,63351,34864,359409,675320,2808,23483,1132267,1893741,15164288,7038250,1460069,113900,119327,1226842,2290382,676455,511005,1102922,104725,743821,74396,2364857,8126038,4493617,571435,3060986
1993:Q2,4951674,250779,147846,13667,55915,3071,138153,18076,61216,11620,47081,160,147364,82811,64553,41650,370027,683125,2870,25215,1164429,1907563,15287434,7104284,1517140,124025,120705,1272410,2274383,681268,503876,1089239,110104,744100,70609,2387948,8183150,4515232,571715,3096203
1993:Q3,5032433,247207,143401,15278,55426,1963,156758,16698,66531,17224,56150,155,147078,80470,66608,39106,388666,700580,2938,27899,1190125,1916008,15489240,7135126,1562042,123232,122697,1316113,2252668,674656,496025,1081987,114785,752145,73232,2380254,8354114,4646190,564772,3143152
1993:Q4,5287713,271953,155587,14502,55677,2506,157265,19411,62439,19059,56192,164,154910,77681,77229,49516,406967,841182,2997,29776,1143777,2001097,15824374,7200063,1593863,117829,124864,1351170,2251699,683827,488747,1079125,120256,794805,72112,2367328,8624311,4865339,576801,3182171
1994:Q1,5327706,272810,152045,15730,58348,2579,161359,16511,68661,22414,53576,197,149949,78244,71705,62335,381249,856702,3077,29526,1177250,2004747,15785832,7294642,1643978,129885,126947,1387146,2279169,692999,514058,1072112,119436,780468,76964,2394627,8491190,4658750,593026,3239414
1994:Q2,5407403,275316,155832,16080,60773,2514,163188,17880,68659,24901,51518,230,154758,81502,73256,62901,372317,871711,3141,29114,1228063,2011695,15834373,7358188,1673960,135680,129467,1408813,2303714,710850,517003,1075861,120100,805934,73256,2381224,8476185,4573094,595308,3307783
1994:Q3,5479940,281599,157040,12638,62656,2696,161518,17818,76920,14900,51616,264,157798,83057,74741,65033,379788,887811,3208,30922,1246202,2031031,16169885,7365219,1691955,138683,130445,1422827,2326412,727814,517980,1080618,122430,821615,74996,2327811,8804666,4833579,613565,3357522
1994:Q4,5623023,291787,163545,15664,67317,2178,166468,18826,69150,19875,58320,297,171502,84881,86621,52768,369073,918843,3178,31061,1232003,2137636,16296714,7449873,1711446,139238,131689,1440519,2357494,748963,530817,1077714,115548,879494,73122,2312770,8846841,4831577,608246,3407018
1995:Q1,5702272,275210,151005,13850,72626,3707,150297,18211,61608,21042,49135,301,164135,84388,79747,53837,401714,937499,3150,34725,1262686,2177831,16765688,7491623,1734179,149799,131748,1452632,2415101,781259,549208,1084634,112782,875383,82352,2271825,9274066,5203193,627319,3443554
1995:Q2,5839950,273121,161359,14454,80537,9019,176477,17386,69206,24306,65273,306,164945,84440,80505,54493,436328,951649,3121,38408,1289639,2186400,17304139,7545807,1773316,162887,132761,1477668,2457092,807156,556626,1093310,114813,887861,73904,2238821,9758332,5633101,640478,3484753
1995:Q3,5987890,282774,163948,15856,86034,3771,147793,18004,66348,20783,42348,310,162467,84187,78280,55553,467322,971797,3097,42323,1343457,2241698,17898780,7634943,1784090,163268,133510,1487312,2480658,820361,557281,1103016,116187,923602,75515,2254892,10263837,6064628,656185,3543024
1995:Q4,6319699,307886,171147,17403,94004,2440,163690,20142,80724,23421,38999,404,168982,83921,85061,51139,491714,1148264,3123,45668,1325261,2328978,18634147,7780252,1797593,157351,134758,1505484,2528994,836799,581898,1110297,113927,974226,73667,2291845,10853895,6449974,814405,3589516
1996:Q1,6474352,283139,167839,20387,101622,2428,151531,17436,82413,20853,30331,498,158891,82213,76678,49386,521977,1174629,3095,50177,1368703,2420549,19087630,7909421,1837097,174174,134937,1527986,2551434,838415,590724,1122295,121575,970108,83165,2346043,11178209,6728661,830432,3619116
1996:Q2,6623660,295566,176787,19844,102580,4322,168454,20928,90198,22880,33856,592,152502,80485,72017,49650,549214,1188650,3113,54306,1425282,2433390,19565125,8018422,1873228,181726,137110,1554392,2596809,856002,599811,1140996,124688,1002692,80014,2340991,11546703,7035650,852187,3658866
1996:Q3,6756647,311962,186931,20922,106979,4674,166141,23488,79919,25926,36126,682,147689,79169,68520,53351,569961,1206024,3104,57743,1458308,2462857,19796339,8137484,1880751,172999,137084,1570668,2641611,886605,603774,1151232,125525,995044,84317,2410236,11658855,7100424,862048,3696383
1996:Q4,7048944,328285,204675,28208,113864,3904,169909,31534,75645,28480,33644,606,155995,78250,77745,59367,621908,1348740,3166,62566,1442904,2505453,20410150,8235612,1889281,156405,137851,1595025,2671546,899350,602922,1169274,126414,1055536,85547,2407288,12174538,7403482,991023,3780033
1997:Q1,7144365,334820,211214,28968,123374,3732,164323,26721,84519,19272,33125,686,154199,84242,69957,60380,655484,1376025,3170,62961,1488384,2477331,20728147,8391881,1931085,168747,138652,1623686,2729595,931344,610878,1187373,135983,1042740,98935,2453543,12336265,7454662,1010636,3870967
1997:Q2,7281220,334222,227641,33462,125559,3249,148465,25733,70901,11823,39163,845,158877,90904,67973,61398,789496,1397400,3173,69664,1553500,2375114,21940134,8381378,1979805,179286,139800,1660719,2783723,960726,611421,1211576,142369,1065046,95247,2315188,13558755,8597080,1023775,3937900
1997:Q3,7446123,343454,225587,33251,134071,4004,142418,28351,68422,8394,36410,841,166022,97365,68657,61780,869725,1418159,3194,74632,1582265,2387561,22822126,8470180,2034658,176649,141682,1716327,2841106,976769,626018,1238319,142834,1092431,103342,2255809,14351946,9304824,1026379,4020743
1997:Q4,7698990,340114,250089,23139,141740,4562,134658,36145,59081,7971,30556,905,188742,104333,84409,64484,916390,1577539,3166,74492,1566031,2413845,23488608,8620049,2046083,168598,142002,1735483,2940231,1009831,660056,1270344,147887,1152531,99155,2234163,14868559,9433427,1283055,4152077
1998:Q1,7954209,353365,300429,27115,154944,3717,128925,32204,56020,7283,32291,1127,182083,103786,78297,70432,1072297,1618771,3205,84641,1607699,2346586,25080124,8791152,2151561,193105,143842,1814614,3004421,1024469,677940,1302012,151886,1170904,110288,2202092,16288972,10786196,1303715,4199061
1998:Q2,8178491,355005,307586,20577,162933,2491,121443,28870,54878,7036,29480,1179,179902,102852,77050,83423,1136358,1644628,3500,88194,1649614,2422837,25699111,9109339,2252070,202491,145492,1904087,3091370,1067406,684525,1339439,156911,1173175,100645,2335168,16589772,10982814,1313027,4293931
1998:Q3,8292774,353745,316869,18385,178836,3252,126711,31301,57331,8288,28716,1075,177720,102029,75691,80990,1048714,1668148,3500,83020,1708388,2524495,25072642,9491423,2295087,216872,147009,1931206,3177926,1104784,689613,1383529,162268,1206905,111865,2537372,15581219,9912848,1316032,4352339
1998:Q4,9143829,330666,319046,30518,194292,4208,141054,39433,61589,10609,28573,850,179877,100528,79349,86871,1303141,1897535,3231,97645,1681574,2874170,27746152,9794034,2309478,192958,147763,1968757,3306595,1130839,729673,1446083,172649,1240448,108119,2656745,17952118,11883702,1691204,4377212
1999:Q1,9469464,320454,334856,36235,207451,4775,140395,40493,60267,11324,27527,784,169301,94031,75270,111859,1476972,1935650,3211,102125,1743019,2883162,28296527,10123652,2395716,223886,149143,2022687,3404076,1147748,764749,1491579,188330,1249882,113269,2772379,18172875,12155256,1687801,4329818
1999:Q2,9850974,339321,363230,32343,206394,3434,141282,47355,57929,11363,23858,777,161738,86872,74866,125774,1696963,1966938,3227,110629,1834198,2865503,29759335,10370307,2466609,232365,150297,2083947,3447888,1159105,755057,1533726,197057,1300987,120531,2837235,19389029,13207732,1764749,4416548
1999:Q3,10106796,347475,380701,33490,215323,6089,151019,47618,58069,12445,32153,734,153471,79606,73865,137487,1698637,2014431,3226,109252,1922816,2933379,29894918,10819891,2542876,239280,151977,2151619,3562960,1189972,756527,1616461,211394,1379767,123848,2999046,19075027,12706835,1775791,4592401
1999:Q4,10914442,365348,416386,31460,237491,5793,145346,47604,56599,12416,27700,1027,148793,72673,76120,142387,2075021,2371426,3223,127331,1930149,2914288,33104946,10979172,2559067,230326,152826,2175915,3660876,1219647,767301,1673928,225439,1453390,124021,2956379,22125775,15388745,2097278,4639752
2000:Q1,11264248,360152,431936,35750,245519,7995,152826,46046,59556,15205,30864,1155,144855,73026,71829,133741,2074707,2411788,3230,132886,2028974,3099889,34259067,11262374,2634270,260797,153262,2220211,3763821,1243775,807056,1712990,231639,1511803,141658,2979183,22996693,16265643,2126418,4604632
2000:Q2,11656924,380650,465842,29742,238722,5943,165084,49284,61899,18089,34634,1178,147422,73129,74293,132903,1973307,2461166,3213,128352,2161146,3363432,34378723,11784737,2703105,296844,153380,2252881,3879744,1288607,830780,1760357,241554,1608045,141956,3210334,22593985,15617179,2204561,4772245
2000:Q3,12056192,404661,497374,13998,247853,5763,169821,58245,62058,18933,29427,1158,147962,72658,75304,139202,1908758,2488038,3231,128479,2259595,3641457,34667588,12209692,2754174,307039,153937,2293198,3913969,1299595,818654,1795720,277936,1706418,140869,3416325,22457896,15261250,2234706,4961940
