1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q2,224504,137931,18810,1347,-256,3476,-2796,564,773,-1738,9255,-1541,16726,36,537,1624,39756,327349,238383,25068,-5947,70,30521,-2483,407,-3567,-2288,12307,-100,255,7997,26979,0,3429,2623,-134,-7247,1076,0,-102845
2000:Q3,240130,162687,22661,1966,93,41609,7440,1636,1323,-2715,5291,-10176,16707,137,4807,1027,-14364,347957,253907,21242,576,1764,8670,2267,436,3087,-2268,18417,-583,237,10800,4713,0,1674,10406,381,11045,1186,0,-107827
2000:Q4,141196,121396,22160,577,-167,-1564,2875,-2192,-1857,1743,-161,3853,20692,365,-22375,64,-4212,578399,463978,21818,-15228,950,-8577,690,-2615,1833,9449,4620,-97,747,4453,56058,0,-12308,9063,1229,41624,607,105,-437202
2001:Q1,234033,80744,13790,161,-389,31093,9422,-250,-2148,-4527,4335,19458,27380,-200,-19345,-1093,75601,262433,301714,27967,821,-23,-11072,-507,473,10777,-608,51574,-32605,1134,-21936,-17327,0,-451,7920,-366,-60486,5433,0,-28400
2001:Q2,8782,14829,13790,1020,-816,-18571,-7935,-1063,2588,-5090,6536,-23,6990,262,82558,1313,-87606,102811,29571,31816,2000,914,-6907,-1423,716,78,-1826,-126,-4656,44,9327,-11376,0,765,-7053,-162,62365,-1256,0,-94029
2001:Q3,11241,-6338,13790,-5340,-164,63937,4580,1048,-579,-3161,22393,16195,-4354,100,-29823,538,-61581,343635,205944,28167,-7387,276,53873,8104,395,9218,-1650,6510,-3385,817,-7181,17452,0,7822,12066,1158,8281,3154,0,-332394
2001:Q4,81506,27266,13790,-3667,-1131,-112987,-17724,4505,-1700,-1995,-3228,2877,2816,509,115263,1732,55180,58858,-3091,39316,-11168,-139,-15704,-7618,4295,-11948,4952,-10361,-3714,-211,13718,-2659,0,-2600,22731,490,43488,-859,-60,22648
2002:Q1,73103,42728,4680,2165,666,85361,-18240,745,1402,2884,15412,-6918,7204,151,-34169,-131,-30838,-1920,-42615,8915,-5522,869,76288,-204,999,15446,-5907,-13414,1115,-1107,-8194,-5173,0,-216,-119,-452,-25953,3325,0,75023
2002:Q2,116375,42768,4680,1981,-247,68291,29214,-992,-400,-820,15655,9082,4749,55,-5244,1821,-54217,143725,109179,9181,-10797,-168,20569,2216,574,-9760,760,6882,4574,-2559,4302,11008,0,5447,8037,1176,-19367,2470,0,-27349
2002:Q3,146774,-14006,4681,-6238,1086,32085,10608,1556,815,-4715,35587,17707,17083,292,10445,1127,38661,224142,145830,9180,-5373,-912,16215,216,-266,-1364,-1488,9196,1087,-2087,4673,19678,0,11150,13820,1505,640,2442,0,-77368
