1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q2,4971837,163881,27878,40080,14627,1653,113334,1120952,112296,281629,141454,216495,369078,2038930,370730,283718,1083796,300686,612,306929,75207,4891,0,0,12605,1050259,4890136,4701477,132856,416545,1274919,7948,25915,156438,394822,104595,203065,87162,81248,38386,42862,1270,48943,192517,1602267,1270,5035,359484,188659,118528,70131
1979:Q3,5144576,177723,28383,44700,16141,2126,118677,1159136,121769,285815,148286,223806,379460,2126595,388907,299982,1123449,314257,636,328911,77994,5390,0,0,13113,1045051,5059066,4860212,148758,431408,1307219,8271,34194,160416,411002,109697,214285,87020,87816,39469,48347,1393,51166,195111,1641416,1300,5077,375665,198854,125784,73070
1979:Q4,5288163,190757,35213,49140,17281,2755,124611,1181362,126987,287558,155713,229035,382069,2191107,400076,309522,1156074,325435,661,323900,81635,12341,0,0,13591,1063810,5193737,4998905,155765,461244,1327119,9254,45214,148162,436768,115914,230300,90554,97054,39312,57742,1563,51789,197650,1684319,1340,4986,376678,194832,117667,77165
1980:Q1,5383455,185402,31637,51673,19995,3010,115601,1221487,136827,296888,161756,231704,394312,2229325,404877,319248,1180861,324339,688,308789,83024,13139,0,0,14081,1105604,5269363,5093076,160605,427237,1354540,9684,61292,152080,456424,119384,244249,92791,92019,37371,54648,1708,53772,200140,1724349,1400,5031,392795,176287,98772,77515
1980:Q2,5561279,204574,32866,55497,20956,3467,133641,1277444,145645,310224,173876,238875,408824,2237622,396676,322999,1198295,319652,717,346162,98825,14000,0,0,14581,1120927,5472768,5255878,151021,449936,1373045,10126,77827,172214,472060,122437,252892,96731,93889,37280,56609,1855,59434,202584,1779887,1500,5180,405320,216890,123128,93762
1980:Q3,5715978,217496,33337,59075,22658,4509,135120,1308959,143409,321403,182635,247032,414480,2292803,408252,335785,1225468,323298,745,381391,102085,15541,0,0,15080,1127179,5623702,5398177,155209,465835,1407456,9498,79901,175436,483039,123806,260435,98798,98593,35991,62602,2075,66091,204983,1833785,1600,5297,409379,225525,128290,97235
1980:Q4,5922491,239581,37259,61407,22635,5056,154418,1339937,145354,326615,194348,252551,421069,2372413,437838,351857,1254225,328493,776,404704,103041,16828,0,0,15575,1148861,5825770,5596869,167986,483516,1470070,10068,76415,179104,502668,128839,273885,99944,112603,38699,73904,2482,70395,207333,1884123,1700,5221,423185,228901,129471,99430
1981:Q1,6047451,240375,33668,70537,26605,6264,151347,1393704,158805,350269,204861,252826,426943,2385840,434948,353215,1271608,326069,808,413003,107130,17327,0,0,16189,1184655,5956583,5716081,164807,466090,1489864,9694,114223,202595,513121,136284,280643,96194,103308,36112,67196,2457,71227,209657,1933066,1800,5043,429129,240502,137584,102918
1981:Q2,6250593,279902,34711,72393,32616,8392,155911,1428421,177700,347057,212751,256536,434377,2460499,458125,373072,1296517,332785,840,406885,111799,16878,0,0,16879,1224468,6171307,5916613,206869,481652,1510561,9793,129871,203666,539736,147180,294249,98307,113885,41327,72558,2637,71535,211972,1981972,1900,4812,445752,254694,146949,107745
1981:Q3,6424086,297376,36300,80652,41280,10784,166405,1473295,196149,352867,225599,260298,438382,2531268,475338,395676,1317299,342955,877,370375,118132,14917,0,0,17583,1264842,6339858,6097830,227128,484261,1543013,11801,164470,207484,569316,158401,311089,99826,121770,40834,80936,2817,65157,214202,2026634,2000,4590,453187,242028,128187,113841
