1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q1,10799,0,2027,8772,13799,0,3729,5129,-86,2027,0,3000,-3000,761,847,-86,0,0,2027,2027,8011,0,3729,4282,0,3000,-3000
1974:Q2,10247,0,2064,8183,13247,0,3529,4736,-82,2064,0,3000,-3000,1005,1087,-82,0,0,2064,2064,7178,0,3529,3649,0,3000,-3000
1974:Q3,10334,0,2063,8271,13834,0,3129,5217,-75,2063,0,3500,-3500,1713,1788,-75,0,0,2063,2063,6558,0,3129,3429,0,3500,-3500
1974:Q4,12753,0,2393,10360,16253,0,4946,5497,-83,2393,0,3500,-3500,1852,1935,-83,0,0,2393,2393,8508,0,4946,3562,0,3500,-3500
1975:Q1,13633,0,2889,10744,14781,0,2170,5755,-33,2889,0,4000,-1148,2194,2227,-33,0,0,2889,2889,8550,0,2170,3528,0,4000,-1148
1975:Q2,13249,0,2721,10528,14166,0,1739,5734,-28,2721,0,4000,-917,2179,2207,-28,0,0,2721,2721,8349,0,1739,3527,0,4000,-917
1975:Q3,13228,0,2245,10983,13716,0,1760,5732,-21,2245,0,4000,-488,2144,2165,-21,0,0,2245,2245,8839,0,1760,3567,0,4000,-488
1975:Q4,14176,0,2662,11514,15226,0,2622,5766,-24,2662,0,4200,-1050,2212,2236,-24,0,0,2662,2662,9302,0,2622,3530,0,4200,-1050
1976:Q1,15306,0,3121,12185,16260,0,3182,5787,-30,3121,0,4200,-954,2420,2450,-30,0,0,3121,3121,9765,0,3182,3337,0,4200,-954
1976:Q2,15989,0,2860,13129,16646,0,3298,6233,-45,2860,0,4300,-657,3198,3243,-45,0,0,2860,2860,9931,0,3298,2990,0,4300,-657
1976:Q3,17119,0,3067,14052,17365,0,2709,7331,-42,3067,0,4300,-246,3952,3994,-42,0,0,3067,3067,10100,0,2709,3337,0,4300,-246
1976:Q4,16586,0,3866,12720,16984,0,3439,5304,-25,3866,0,4400,-398,4434,4459,-25,0,0,3866,3866,8286,0,3439,845,0,4400,-398
1977:Q1,17467,0,3509,13958,17477,0,3897,5697,-26,3509,0,4400,-10,4812,4838,-26,0,0,3509,3509,9146,0,3897,859,0,4400,-10
1977:Q2,19236,0,3712,15524,18749,0,4744,5814,-21,3712,0,4500,487,4920,4941,-21,0,0,3712,3712,10604,0,4744,873,0,4500,487
1977:Q3,18148,0,3572,14576,18572,0,4914,5607,-21,3572,0,4500,-424,4776,4797,-21,0,0,3572,3572,9800,0,4914,810,0,4500,-424
1977:Q4,18663,0,4146,14517,20193,0,5686,5783,-22,4146,0,4600,-1530,4951,4973,-22,0,0,4146,4146,9566,0,5686,810,0,4600,-1530
1978:Q1,20016,0,4439,15577,21772,0,7097,5557,-21,4439,0,4700,-1756,4701,4722,-21,0,0,4439,4439,10876,0,7097,835,0,4700,-1756
1978:Q2,20305,0,5010,15295,20301,0,7450,5131,-28,5010,0,2738,4,4270,4298,-28,0,0,5010,5010,11025,0,7450,833,0,2738,4
1978:Q3,20271,0,5624,14647,19891,0,6457,5060,-26,5624,0,2776,380,4214,4240,-26,0,0,5624,5624,10433,0,6457,820,0,2776,380
1978:Q4,25900,0,6206,19694,20031,0,8317,2592,-29,6206,0,2945,5869,1047,1076,-29,0,0,6206,6206,18647,0,8317,1516,0,2945,5869
1979:Q1,30595,0,6689,23906,25540,0,12524,1566,-21,6689,1162,3620,5055,1121,1142,-21,0,0,6689,6689,22785,0,12524,424,1162,3620,5055
1979:Q2,32200,0,7948,24252,28196,0,11273,2296,-33,7948,2298,4414,4004,1204,1237,-33,0,0,7948,7948,23048,0,11273,1059,2298,4414,4004
1979:Q3,37883,0,8271,29612,28281,0,9777,2363,-33,8271,3856,4047,9602,1280,1313,-33,0,0,8271,8271,28332,0,9777,1050,3856,4047,9602
1979:Q4,37783,0,9254,28529,29004,0,10080,1643,-27,9254,5109,2945,8779,1253,1280,-27,0,0,9254,9254,27276,0,10080,363,5109,2945,8779
1980:Q1,42129,0,9684,32445,31571,0,9174,2402,-28,9684,6316,4023,10558,1222,1250,-28,0,0,9684,9684,31223,0,9174,1152,6316,4023,10558
1980:Q2,44507,0,10126,34381,32128,0,8564,2608,-31,10126,7056,3805,12379,1385,1416,-31,0,0,10126,10126,32996,0,8564,1192,7056,3805,12379
1980:Q3,42162,0,9498,32664,34584,0,8670,3256,-39,9498,8657,4542,7578,1665,1704,-39,0,0,9498,9498,30999,0,8670,1552,8657,4542,7578
1980:Q4,46117,0,10068,36049,37046,0,9696,4715,-58,10068,6769,5856,9071,2852,2910,-58,0,0,10068,10068,33197,0,9696,1805,6769,5856,9071
1981:Q1,51631,0,9694,41937,40043,0,9384,4054,-44,9694,10754,6201,11588,3448,3492,-44,0,0,9694,9694,38489,0,9384,562,10754,6201,11588
1981:Q2,53703,0,9793,43910,46855,0,9411,4828,-43,9793,14174,8692,6848,3988,4031,-43,0,0,9793,9793,39922,0,9411,797,14174,8692,6848
1981:Q3,57640,0,11801,45839,57711,0,10495,5936,-40,11801,17072,12447,-71,4618,4658,-40,0,0,11801,11801,41221,0,10495,1278,17072,12447,-71
1981:Q4,60111,0,11914,48197,62566,0,12386,6425,-39,11914,18846,13034,-2455,5055,5094,-39,0,0,11914,11914,43142,0,12386,1331,18846,13034,-2455
1982:Q1,66375,0,12590,53785,67195,0,10066,6651,-40,12590,22466,15462,-820,5367,5407,-40,0,0,12590,12590,48418,0,10066,1244,22466,15462,-820
1982:Q2,68130,0,12200,55930,73744,0,11310,7683,-39,12200,23204,19386,-5614,6062,6101,-39,0,0,12200,12200,49868,0,11310,1582,23204,19386,-5614
1982:Q3,62490,0,13813,48677,67981,0,8268,7549,-31,13813,22819,15563,-5491,6406,6437,-31,0,0,13813,13813,42271,0,8268,1112,22819,15563,-5491
1982:Q4,72742,0,14732,58010,74962,2427,10063,8518,-30,14732,23759,15493,-2220,7348,7378,-30,0,0,14732,14732,50662,2427,10063,1140,23759,15493,-2220
1983:Q1,76036,0,13782,62254,75000,2536,11580,10519,-12,13782,19182,17413,1036,9293,9305,-12,0,0,13782,13782,52961,2536,11580,1214,19182,17413,1036
1983:Q2,74832,0,13083,61749,75519,2490,11545,10967,-36,13083,19644,17826,-687,9413,9449,-36,0,0,13083,13083,52336,2490,11545,1518,19644,17826,-687
1983:Q3,76531,0,12440,64091,77482,2601,13176,11047,-38,12440,19890,18366,-951,9399,9437,-38,0,0,12440,12440,54692,2601,13176,1610,19890,18366,-951
1983:Q4,165995,0,11841,154154,86987,6937,14393,12629,-48,11841,21911,19324,79008,11312,11360,-48,0,0,11841,11841,142842,6937,14393,1269,21911,19324,79008
1984:Q1,170507,0,10901,159606,92037,7190,15541,13203,-35,10901,23774,21463,78470,11706,11741,-35,0,0,10901,10901,147900,7190,15541,1462,23774,21463,78470
1984:Q2,173466,0,12351,161115,96093,7280,16503,13202,-50,12351,22971,23836,77373,11659,11709,-50,0,0,12351,12351,149456,7280,16503,1493,22971,23836,77373
1984:Q3,171047,0,14942,156105,91891,7026,12418,13353,-47,14942,23651,20548,79156,11619,11666,-47,0,0,14942,14942,144486,7026,12418,1687,23651,20548,79156
1984:Q4,172180,0,18852,153328,94285,6902,13284,13426,-66,18852,21197,20690,77895,11541,11607,-66,0,0,18852,18852,141787,6902,13284,1819,21197,20690,77895
1985:Q1,170246,0,15404,154842,91247,7017,12568,13134,-40,15404,20941,22223,78999,11386,11426,-40,0,0,15404,15404,143456,7017,12568,1708,20941,22223,78999
1985:Q2,169390,0,20318,149072,91528,6812,11895,12891,-50,20318,18582,21080,77862,11394,11444,-50,0,0,20318,20318,137678,6812,11895,1447,18582,21080,77862
1985:Q3,172372,0,18136,154236,87272,7207,12514,12981,-48,18136,18983,17499,85100,11686,11734,-48,0,0,18136,18136,142550,7207,12514,1247,18983,17499,85100
1985:Q4,185105,0,23342,161763,99537,7791,16023,13346,-44,23342,19011,20068,85568,11952,11996,-44,0,0,23342,23342,149811,7791,16023,1350,19011,20068,85568
1986:Q1,191830,0,25662,166168,99014,7952,17734,13291,-40,25662,19157,15258,92816,12025,12065,-40,0,0,25662,25662,154143,7952,17734,1226,19157,15258,92816
1986:Q2,196054,0,23325,172729,102274,8126,18854,13451,-54,23325,22030,16542,93780,12109,12163,-54,0,0,23325,23325,160620,8126,18854,1288,22030,16542,93780
1986:Q3,206088,0,25041,181047,104432,8447,18104,12160,-51,25041,22612,18119,101656,11922,11973,-51,0,0,25041,25041,169125,8447,18104,187,22612,18119,101656
1986:Q4,218671,0,26954,191717,108884,8753,19201,11903,-60,26954,22140,19993,109787,11730,11790,-60,0,0,26954,26954,179987,8753,19201,113,22140,19993,109787
1987:Q1,218126,0,25191,192935,112795,8687,16826,12032,-62,25191,27061,23060,105331,11711,11773,-62,0,0,25191,25191,181224,8687,16826,259,27061,23060,105331
1987:Q2,212706,0,21327,191379,99164,8525,15896,10076,-68,21327,23889,19519,113542,11313,11381,-68,0,0,21327,21327,180066,8525,15896,-1305,23889,19519,113542
1987:Q3,212473,0,18127,194346,99530,8400,15081,11806,-64,18127,22668,23512,112943,10918,10982,-64,0,0,18127,18127,183428,8400,15081,824,22668,23512,112943
1987:Q4,246620,0,20351,226269,98358,9759,16262,13065,-66,20351,21579,17408,148262,11349,11415,-66,0,0,20351,20351,214920,9759,16262,1650,21579,17408,148262
1988:Q1,246387,0,24544,221843,103976,9724,18334,10518,-62,24544,22067,18851,142411,10645,10707,-62,0,0,24544,24544,211198,9724,18334,-190,22067,18851,142411
1988:Q2,250303,0,20268,230035,108985,10130,25398,9873,-60,20268,22080,21296,141318,9992,10052,-60,0,0,20268,20268,220043,10130,25398,-180,22080,21296,141318
