1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2021:Q3,4357470,318559,384901,50151,196468,2197231,233416,1217331,399638,39971,306875,391805,264758,127047,119118,57159,260831,215917,165330,8284934,3269240,30823,3238417,22199,1148304,3845191
2021:Q4,4452211,345731,382861,55513,201044,2230937,228160,1265517,403925,40793,292542,370045,260342,109703,121542,58332,275525,237800,172881,8036764,3279514,32903,3246611,22562,1163344,3571344
2022:Q1,4402017,351163,375730,56149,193784,2178548,247217,1236381,382322,38866,273762,378360,260110,118250,115771,55548,285318,258467,153179,7977767,3256052,27078,3228974,22684,1179040,3519991
2022:Q2,4503931,360991,354212,57912,199628,2256561,252483,1281448,397803,40701,284126,368085,259877,108208,121243,58181,300521,265328,161269,8165588,3259998,23296,3236702,22774,1195588,3687228
2022:Q3,4488938,353418,353266,60498,198124,2241517,252928,1275657,391326,40297,281309,368881,259645,109236,120041,57601,305425,272188,157979,8188438,3250821,24913,3225908,22914,1212239,3702464
2022:Q4,4561579,360426,370501,65274,200642,2282393,261118,1303527,394225,40861,282662,359311,259413,99898,121720,58421,309889,279048,153954,7780455,3228849,25433,3203416,23283,1229043,3299280
2023:Q1,4678080,359598,362091,69575,210208,2376713,253243,1368917,414459,43298,296796,349455,251285,98170,128986,61883,307350,283452,168769,7797250,3233115,24448,3208667,23553,1245838,3294744
2023:Q2,4713588,353335,369905,70442,213032,2409076,255316,1391408,417376,43902,301074,333894,243413,90481,130841,62801,314195,285598,170469,7789429,3244358,23504,3220854,23749,1262625,3258697
2023:Q3,4671783,351440,365322,71483,209623,2376727,261809,1376247,404547,42868,291256,329957,235788,94169,127755,61310,328461,286750,162955,7979898,3238207,26415,3211792,23882,1279848,3437961
2023:Q4,4851041,375570,374311,72034,219788,2495556,265917,1452091,426039,45558,305951,319936,228400,91536,135721,65137,329489,288675,174824,7766395,3251185,26866,3224319,24268,1297317,3193625
2024:Q1,4894196,379167,373082,72548,222951,2528253,268455,1482510,429466,46272,301550,321136,229708,91428,137820,66145,321400,290799,180895,7633162,3268748,27813,3240935,24577,1315099,3024738
2024:Q2,4970722,368200,371128,73569,228857,2584598,264933,1521785,440844,47498,309538,329298,231021,98277,141472,67898,327134,292881,185687,7677837,3304580,26826,3277754,24862,1332977,3015418
2024:Q3,5161014,367076,368457,77124,241574,2718840,270284,1606342,465339,50137,326738,343270,232342,110928,149332,71670,332073,295593,196005,7547663,3335428,32155,3303273,25004,1351055,2836176
2024:Q4,5133335,390652,374081,81912,237482,2670684,263600,1579135,457457,49288,321204,332278,233672,98606,146803,70456,337585,298717,192685,7693050,3348640,34393,3314247,25482,1369277,2949651
2025:Q1,5226880,394116,367771,83405,242656,2753538,294011,1613539,467424,50362,328202,321467,235002,86465,150001,71991,342806,302246,196883,7876707,3375827,32080,3343747,25804,1387784,3087292
