1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,1104,1238,449,449,790,16467,427,247,52,40,0,-71,-518,-61,-2038,-234,597,1218,11469,3554,1673,4049,2193,0,1219,50,0,0,0,44,3508,15677,15726,670,1571,3420,40,0,255,1320,244,875,201,998,745,253,2,301,771,6185,0,-310,503,-49,-86,37,-135
1959:Q3,1166,669,466,466,204,14182,-923,-30,56,-345,0,-298,1269,315,-631,124,512,949,8797,1909,320,4430,2138,1,1483,37,0,0,0,48,4087,13978,13700,-393,2416,1267,-206,0,-553,983,-151,813,321,852,688,164,2,355,833,6438,10,136,1560,278,252,26,497
1959:Q4,1188,868,466,466,402,15685,1270,2,59,130,0,-503,767,-577,-621,-2,448,1519,10363,3950,1179,4006,1228,2,1486,45,0,0,0,51,2013,15283,15252,625,3598,2219,19,0,-689,870,165,399,306,1282,2228,-946,-3,335,939,6259,0,17,-219,31,-14,45,321
1960:Q1,1188,910,512,512,398,4670,-871,124,49,-49,0,1071,-3884,1186,-6500,468,348,614,4029,-854,675,3303,905,1,1210,123,0,0,0,48,2819,4272,3868,-731,-7622,1878,-55,0,1732,2503,1398,-163,1268,-1792,-908,-884,2,311,918,5895,10,-1,820,404,289,115,278
1960:Q2,1191,1650,518,518,1132,17260,-726,253,52,178,0,107,2199,173,445,154,289,1138,9988,2469,2028,3490,2001,1,1617,45,0,0,0,42,3504,16128,15844,-376,2966,4043,202,0,-431,1308,28,656,624,411,569,-158,5,333,859,6221,0,102,201,284,244,40,-459
1960:Q3,1175,1520,507,507,1013,17172,959,38,55,-25,0,-77,6451,306,3849,162,757,1377,4956,-534,201,3955,1334,2,1733,39,0,0,0,35,3006,16159,15837,1671,1989,3936,1,0,-335,885,155,114,616,164,-215,379,2,268,750,5755,0,460,291,322,273,49,-345
1960:Q4,1207,1918,501,501,1417,17735,-395,53,58,206,0,-553,6787,-66,4099,472,650,1632,7147,1985,1280,3369,513,1,1536,53,0,0,0,27,2815,16318,16200,-974,4820,5432,201,0,-991,1003,144,131,728,903,89,814,5,137,625,5801,0,416,-1178,118,68,50,-711
1961:Q1,1252,1043,489,489,554,4909,-1857,206,65,130,0,970,1952,961,-1482,382,1230,861,1551,-1901,250,2846,356,0,600,136,0,0,0,20,1136,4355,4696,-2140,-7042,5545,88,0,1230,901,933,-482,450,-2824,-1641,-1183,5,418,667,5776,10,-62,2124,-341,-466,125,209
1961:Q2,1213,2040,500,500,1540,18786,1199,-553,67,77,0,-1000,3750,-131,2311,90,-31,1511,7586,1142,2023,3912,509,2,1749,47,0,0,0,15,5846,17246,17391,1219,2192,6589,128,0,-1022,364,-204,336,232,1068,-1,1069,1,288,771,6277,0,-573,89,-145,-173,28,-826
1961:Q3,1221,1148,508,508,640,19335,-163,1112,69,-91,0,1069,7842,340,4633,-95,1806,1158,6184,867,236,4674,407,1,1444,48,0,0,0,12,1808,18695,18918,330,4283,3712,-132,0,1306,262,-200,542,-80,578,999,-421,2,411,899,5836,0,-130,1561,-223,-249,26,73
