1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q1,1090861,865310,13836,3108,-7810,73349,-4024,1956,979,736,11332,33652,-621,-2268,99750,-1008,2585,570529,573615,4008,-15156,-1916,-26410,2304,-80,1033,0,-5840,-48892,468,-18836,159023,0,-60060,-13850,-2048,23721,-556,0,520332
1992:Q2,-2267,-64740,13836,-11428,-6932,52303,3612,756,882,288,860,-14472,-2785,-808,-33426,-1640,61428,-136632,-206649,4512,6188,246,30180,1544,-1132,4745,0,3124,13980,12,34224,20421,0,13056,-20385,-372,-45837,5512,0,134364
1992:Q3,-57355,-17699,8836,3880,9377,-77048,19444,444,671,208,1388,13964,36956,-1764,79264,11620,-146895,182838,-23288,9008,-11960,7570,3063,23248,-956,14036,0,3278,-6272,-2816,-12261,45190,0,9956,7742,1872,116217,-788,0,-240193
1992:Q4,9870,83360,18840,3948,2110,18476,-15416,1156,-1604,1800,2448,21048,6970,-1628,-74736,692,-57593,-341081,-96779,6508,7804,1216,-17749,-14320,-540,-3754,7392,-12402,-11200,2028,7109,-45366,0,-12176,-1492,-3268,-154057,-36,0,350952
1993:Q1,220700,217085,5056,12360,-13447,32872,3660,1140,1964,288,10468,-43112,9134,-1848,108917,2576,-126413,197589,185386,11232,-29468,1354,-22534,6720,-572,-9618,0,4502,-356,372,-2744,-31289,0,-24928,11829,644,94250,2808,0,23111
1993:Q2,195786,24291,5056,-17384,5109,105423,1344,1368,730,-892,9156,38740,36521,-632,-24564,1592,9928,27966,27732,11728,-12016,6054,31810,6772,-180,3307,0,16968,-18500,352,28105,-58515,0,6036,10659,-108,-35871,3632,0,167819
1993:Q3,-28191,-33041,5060,-4700,5490,-93807,3792,1472,-300,-248,6100,-4496,27691,-1180,92987,2436,-35447,276746,71870,14232,6932,-3424,9871,3572,-408,17693,0,-26782,-24288,-1692,5050,77579,0,29260,24322,4224,71007,-2272,0,-304937
1993:Q4,-15085,87226,5056,12492,5168,68513,-13596,1572,787,912,10280,10728,2289,-724,-119749,-6100,-79939,4237,207040,15732,8020,4864,4627,-20084,-600,-2211,-34640,-10608,-5724,-772,19833,-58899,0,12184,-11207,-4036,-119822,540,0,-19323
1994:Q1,279013,-102397,4800,3044,-8435,362245,18896,-120,1077,2028,3776,-43440,26069,-2968,87594,-608,-72547,425488,52477,19976,8036,-3970,273847,23108,964,-18795,0,45086,-12028,-1148,27688,63421,0,-45668,-14634,972,5239,916,0,-146475
1994:Q2,40106,-62483,19804,-9872,10140,213462,24272,796,1194,1164,-224,-16816,13239,-2464,-56645,-508,-94952,124081,40654,15476,8064,1172,92598,29848,504,4960,0,-37868,15096,1008,6162,56860,0,1832,-15569,528,-94620,-2624,0,-83975
