1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,11098,3950,-825,4678,3092,488,945,153,3295,11098,9866,6704,2903,633,-428,54,1282,339,0,0,0,104,284,0,555,0,-50,11098,735,-1481,1586,481,88,61,10363,0,7439,39,-3,163,-9,928,68,43,81,0,528,1,0,1059,0,26,0,0,0
1960:Q1,1930,-854,419,3821,2481,499,671,170,-1456,1930,3623,832,1562,1175,16,38,-1792,-614,0,0,0,93,-67,0,-1204,0,99,1930,-2099,7,-1799,-561,202,52,4029,0,1804,27,1,115,-1,876,74,87,99,0,-127,1,0,1386,0,-313,0,0,0
1960:Q2,11548,2469,1868,4346,2786,503,769,288,2865,11548,10843,6759,1648,1782,556,98,411,250,0,0,0,-232,58,0,335,0,294,11548,1560,361,704,161,291,43,9988,0,6023,70,2,259,0,793,82,685,118,0,687,2,0,1220,0,47,0,0,0
1960:Q3,5897,-534,655,4808,3216,591,863,138,968,5897,5468,4554,-498,1171,162,79,164,-34,0,0,0,56,-580,0,722,0,265,5897,941,1026,-267,-98,236,44,4956,0,3098,145,3,181,2,704,82,102,124,0,243,-2,0,196,0,78,0,0,0
1960:Q4,10018,1985,2069,4306,2796,493,876,141,1658,10018,8614,5400,2359,648,217,-10,903,245,0,0,0,-19,35,0,642,0,501,10018,2871,1406,870,275,267,53,7147,0,4861,107,2,120,2,814,74,52,117,0,249,-3,0,688,0,64,0,0,0
1961:Q1,545,-1901,511,3844,2267,638,714,225,-1909,545,2858,723,-281,1881,485,50,-2824,-504,0,0,0,-24,-1446,0,-850,0,511,545,-1006,575,-1655,-608,621,61,1551,0,694,431,5,-8,4,692,68,51,114,0,-414,0,0,-459,0,373,0,0,0
1961:Q2,9796,1142,2493,4903,2958,519,1052,374,1258,9796,8956,6070,108,1802,863,113,1068,392,0,0,0,-13,-98,0,787,0,-228,9796,2210,1541,582,169,-151,69,7586,0,4474,160,5,182,3,770,61,786,116,0,361,-1,0,209,0,460,0,0,0
1961:Q3,7427,867,440,5635,3576,847,912,300,485,7427,6244,4215,-324,1905,410,38,578,255,0,0,0,9,300,0,14,0,605,7427,1243,356,45,35,736,71,6184,0,5002,-112,7,122,1,551,61,69,113,0,451,44,0,-84,0,-41,0,0,0
1961:Q4,14642,4098,2013,6178,3848,832,1318,180,2353,14642,11517,7032,3171,1106,183,25,2457,538,0,0,0,95,901,0,923,0,668,14642,2687,802,1031,332,456,66,11955,0,8321,-23,10,114,-2,921,69,10,103,0,713,46,0,1391,0,282,0,0,0
1962:Q1,1543,-1365,-28,4333,2461,596,971,305,-1397,1543,3397,1240,-87,1798,361,85,-2405,-511,0,0,0,-60,-1118,0,-716,0,551,1543,-256,416,-1081,-353,697,65,1799,0,1499,-160,15,-2,-1,518,74,48,94,0,-144,22,0,180,0,-344,0,0,0
