1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q1,106647,28664,7490,3893,110,56,3693,-261,21090,-84,76538,63,493,15,1,-446,76475,0,70110,2911,0,3834,0,-380,0,1445,3009085,579322
1967:Q2,41162,18556,8748,4529,116,59,4307,-263,17142,7334,21548,6105,4916,11,0,1178,15443,0,9604,6328,0,834,0,-1323,0,1058,3050247,586696
1967:Q3,86558,29840,8805,4836,104,59,4072,-266,27096,6061,55863,9831,6883,24,4,2921,46032,0,39457,5166,0,2404,0,-996,0,855,3136805,597752
1967:Q4,67259,15135,9066,5233,112,59,3931,-270,27723,21654,51387,17292,14505,30,8,2749,34095,0,25060,9627,0,1122,0,-1714,0,737,3204063,607280
1968:Q1,22968,39398,9457,4750,106,56,4831,-286,21543,-8398,-19559,20757,18782,13,10,1953,-40317,0,-45389,10735,0,-3281,0,-2382,0,3129,3227031,623954
1968:Q2,138338,19152,9655,4787,89,56,5004,-281,21983,12486,116687,15529,13582,49,15,1884,101157,0,88353,8432,0,4958,0,-586,0,2499,3365368,640688
1968:Q3,61711,27323,10377,4796,97,58,5695,-269,24544,7598,31746,11185,8561,44,17,2563,20561,0,13842,6603,0,1778,0,-1662,0,2642,3427079,649389
1968:Q4,168626,18465,10298,5042,107,60,5338,-250,21529,13362,148000,38027,35084,55,19,2869,109973,0,94403,16502,0,896,0,-1828,0,2161,3595705,661666
1969:Q1,18253,29128,10792,5503,136,48,5316,-209,19060,724,-14095,21426,19475,24,23,1904,-35521,0,-41437,10403,0,-1864,0,-2623,0,3221,3613958,669756
1969:Q2,7595,15636,10423,5376,139,51,5048,-190,16624,11411,-11102,15440,12924,33,22,2461,-26542,0,-31333,10247,0,-2977,0,-2479,0,3061,3621554,684950
1969:Q3,21480,28514,10076,5357,139,52,4707,-178,24286,5848,-9110,8518,6779,62,22,1655,-17628,0,-18194,4226,0,-973,0,-2687,0,2076,3643034,707480
1969:Q4,17290,27826,9226,4782,135,54,4431,-175,29670,11069,-11904,21092,18876,61,24,2131,-32996,0,-40341,10336,0,-803,0,-2188,0,1368,3660324,721137
1970:Q1,28119,36116,8889,5005,143,53,3872,-184,23652,-3575,-14561,551,-135,57,23,606,-15112,0,-24505,6174,0,324,0,2895,0,6564,3688443,737168
1970:Q2,-63526,25014,8770,4814,139,51,3964,-198,22802,6558,-92343,29509,28082,51,23,1352,-121852,0,-129203,19351,0,-9094,0,-2907,0,3803,3624916,754520
1970:Q3,127689,42305,8876,4979,141,51,3924,-218,40367,6938,81435,-3034,-5626,33,22,2536,84469,0,80865,-2917,0,4202,0,2318,0,3950,3752606,774022
1970:Q4,123004,31059,8163,5747,112,45,2504,-244,31898,9001,88358,19552,13665,73,26,5789,68806,0,55361,9458,0,2431,0,1556,0,3586,3875610,782186
1971:Q1,163572,43621,10252,5828,127,44,4539,-286,36121,2752,114540,25833,20950,98,30,4756,88707,0,62280,18891,0,5479,0,2057,0,5411,4039181,805328
1971:Q2,74197,33811,11376,6754,142,47,4742,-309,36085,13650,34414,22211,19814,52,24,2321,12203,0,-3855,15767,0,266,0,25,0,5972,4113378,826350
1971:Q3,60144,37117,12077,7257,149,50,4945,-324,37784,12744,17974,17402,18483,-1,20,-1100,572,0,-13917,14279,0,-405,0,616,0,5053,4173523,838808
1971:Q4,120892,31360,13198,7654,180,58,5637,-331,34447,16285,85091,13616,15848,-38,8,-2201,71475,0,51506,16121,0,2835,0,1013,0,4441,4294415,853832
1972:Q1,159045,48350,14488,8515,355,57,5879,-319,41108,7246,103935,38207,35000,36,15,3155,65728,0,41151,20884,0,2152,0,1542,0,6760,4453459,866754
