date,FL893150005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL263150005.Q,FL893150005.Q,FL153050005.Q,FL543050005.Q,FL543151905.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1985:Q2,3067437,356665,1064607,879934,766231,0,3067437,3067437,0,0,200000,119732,8994,16569,6271,18962,29472
1985:Q3,3118680,363585,1078635,894633,781827,0,3118680,3118680,0,0,220500,124039,10088,18371,6620,21808,39574
1985:Q4,3184551,260441,1215574,909235,799301,0,3184551,3184551,0,0,241000,127887,12147,16955,6968,25857,51186
1986:Q1,3277172,273503,1256069,927434,820166,0,3277172,3277172,0,0,263000,139840,13413,18575,7466,32809,50897
1986:Q2,3353180,295200,1273595,945014,839371,0,3353180,3353180,0,0,285000,149469,16567,20208,7964,38040,52752
1986:Q3,3402400,305164,1277412,962531,857293,0,3402400,3402400,0,0,307000,150246,17309,21244,8461,41975,67765
1986:Q4,3496575,327834,1312364,979912,876465,0,3496575,3496575,0,0,329000,153813,18051,22650,8959,47724,77803
1987:Q1,3606001,341745,1371874,995290,897092,0,3606001,3606001,0,0,347750,159209,19024,24921,10198,54292,80106
1987:Q2,3687526,349746,1411707,1010949,915124,0,3687526,3687526,0,0,366500,166378,19996,26934,11438,59796,81958
1987:Q3,3794033,363030,1471197,1026448,933358,0,3794033,3794033,0,0,385250,169011,20481,29063,12677,64324,89694
1987:Q4,3801361,358506,1454222,1042047,946586,0,3801361,3801361,0,0,404000,173862,20965,30085,13917,62538,102633
1988:Q1,3899611,385668,1489604,1058211,966128,0,3899611,3899611,0,0,420000,181334,21502,32511,15154,66909,102590
1988:Q2,3985937,404933,1521015,1074494,985495,0,3985937,3985937,0,0,436000,188460,22038,34695,16392,69741,104674
1988:Q3,4051392,424337,1532322,1090603,1004130,0,4051392,4051392,0,0,452000,192808,22243,36735,17629,70944,111641
1988:Q4,4131497,444335,1557430,1106547,1023185,0,4131497,4131497,0,0,468000,196965,22448,38850,18867,73441,117429
1989:Q1,4247030,454433,1598547,1123204,1070846,0,4247030,4247030,0,0,487500,203060,22831,38493,21104,77236,124776
1989:Q2,4374151,474478,1640683,1140297,1118693,0,4374151,4374151,0,0,507000,211544,23213,38300,23342,82945,127656
1989:Q3,4496352,485966,1686250,1156948,1167188,0,4496352,4496352,0,0,526500,215790,23768,38091,25580,88797,134474
1989:Q4,4623302,504646,1730727,1173705,1214224,0,4623302,4623302,0,0,546000,219866,24322,37855,27817,93065,143075
1990:Q1,4705283,522691,1745196,1190611,1246785,0,4705283,4705283,0,0,568750,224728,25345,38792,31250,92887,155748
1990:Q2,4813273,558437,1765980,1207631,1281225,0,4813273,4813273,0,0,591500,231257,26367,40210,34500,98214,160952
1990:Q3,4864307,563283,1764917,1224622,1311485,0,4864307,4864307,0,0,614250,235501,26949,40680,37750,91843,181527
1990:Q4,4981536,581222,1812271,1241789,1346254,0,4981536,4981536,0,0,637000,238905,27531,41975,41000,98011,189578
1991:Q1,5109791,588942,1877177,1259511,1384161,0,5109791,5109791,0,0,671750,243458,28824,44341,41000,111930,202197
1991:Q2,5208742,604850,1906415,1277536,1419941,0,5208742,5208742,0,0,706500,248098,30116,46014,41000,118885,222387
1991:Q3,5328803,618029,1958078,1295538,1457158,0,5328803,5328803,0,0,741250,249032,30629,47991,41000,130834,241764
1991:Q4,5460492,633813,2018205,1313646,1494828,0,5460492,5460492,0,0,776000,251719,31141,49690,41000,143518,258932
1992:Q1,5569202,642602,2032703,1332400,1561497,0,5569202,5569202,0,0,800250,249159,31445,50850,41750,151054,275992
1992:Q2,5704100,660349,2063078,1351574,1629099,0,5704100,5704100,0,0,824500,247443,31749,52307,42500,162459,288042
1992:Q3,5855622,675657,2112319,1370602,1697044,0,5855622,5855622,0,0,848750,244374,31914,53883,43250,174882,300447
1992:Q4,6020766,707860,2157410,1389504,1765992,0,6020766,6020766,0,0,873000,242891,32079,55600,44000,188636,309794
1993:Q1,6160737,727500,2227184,1407662,1798391,0,6160737,6160737,0,0,903000,240065,32031,59512,45500,208554,317338
1993:Q2,6270840,748204,2266846,1425815,1829975,0,6270840,6270840,0,0,933000,236896,31982,63280,47000,227634,326208
1993:Q3,6392930,775379,2312610,1443987,1860954,0,6392930,6392930,0,0,963000,234968,31894,66697,48500,248985,331956
1993:Q4,6489951,788898,2345800,1461982,1893271,0,6489951,6489951,0,0,993000,230922,31806,69465,50000,264670,346137
1994:Q1,6574767,799357,2368272,1479859,1927279,0,6574767,6574767,0,0,1008750,228886,31583,72043,53250,260470,362518
1994:Q2,6676018,802034,2413996,1497745,1962243,0,6676018,6676018,0,0,1024500,226308,31360,74636,56500,263313,372383
1994:Q3,6803249,815527,2472461,1516759,1998502,0,6803249,6803249,0,0,1040250,224650,31561,77326,59750,278069,368894
1994:Q4,6856695,812443,2476579,1534747,2032926,0,6856695,6856695,0,0,1056000,223526,31761,78735,63000,277576,381402
1995:Q1,7015813,831245,2553481,1554408,2076679,0,7015813,7015813,0,0,1114000,225677,32035,82613,66750,302996,403929
1995:Q2,7191749,869377,2626885,1574463,2121024,0,7191749,7191749,0,0,1172000,228655,32308,87028,70500,335528,417981
1995:Q3,7375122,894566,2720664,1594374,2165518,0,7375122,7375122,0,0,1230000,229907,32639,91105,74250,365766,436333
1995:Q4,7532929,909250,2800966,1613663,2209050,0,7532929,7532929,0,0,1288000,228067,32969,94295,78000,384417,470252
1996:Q1,7683053,924965,2877918,1633231,2246939,0,7683053,7683053,0,0,1332750,228101,33231,98438,81250,410545,481185
1996:Q2,7806238,937865,2930590,1653451,2284332,0,7806238,7806238,0,0,1377500,227578,33492,101894,84500,440293,489743
1996:Q3,7939063,947587,2997518,1672625,2321333,0,7939063,7939063,0,0,1422250,226876,33659,104979,87750,467105,501881
1996:Q4,8158717,900571,3106790,1692938,2458418,0,8158717,8158717,0,0,1467000,224912,33825,110326,91000,501000,505937
1997:Q1,8255126,917282,3123749,1712114,2501981,0,8255126,8255126,0,0,1532250,223158,34169,122903,90500,520397,541123
1997:Q2,8582769,978227,3313650,1735087,2555805,0,8582769,8582769,0,0,1597500,222680,34513,135493,90000,598498,516316
1997:Q3,8858194,1022643,3475346,1755494,2604711,0,8858194,8858194,0,0,1662750,224645,34857,149219,89500,663672,500857
1997:Q4,8925054,1017743,3484240,1775198,2647873,0,8925054,8925054,0,0,1728000,218980,35000,161000,89000,674000,550020
1998:Q1,9295173,1076311,3706014,1798515,2714333,0,9295173,9295173,0,0,1833500,217417,35300,171194,95000,760683,553906
1998:Q2,9444363,1114270,3738612,1820810,2770671,0,9444363,9444363,0,0,1939000,213552,34612,177951,101000,790001,621884
1998:Q3,9324257,1089994,3585708,1835637,2812918,0,9324257,9324257,0,0,2044500,215269,34660,175960,107000,732339,779272
1998:Q4,9812187,1159871,3902203,1863531,2886582,0,9812187,9812187,0,0,2150000,213244,35335,190113,113000,853000,745308
1999:Q1,9994489,1176636,3982996,1885081,2949776,0,9994489,9994489,0,0,2275250,212460,35705,202042,117500,891960,815583
1999:Q2,10258149,1218602,4112014,1909115,3018418,0,10258149,10258149,0,0,2400500,212374,36076,215948,122000,963195,850907
1999:Q3,10236959,1189656,4047349,1925738,3074216,0,10236959,10236959,0,0,2525750,210106,36450,219544,126500,943342,989808
1999:Q4,10729157,1333930,4283404,1953287,3153042,5494,10729157,10704386,24714,57,2651000,206797,36242,245463,131000,1104000,927498
2000:Q1,10977560,1383569,4403548,1974246,3210618,5579,10977560,10952420,25081,59,2645500,204430,36160,253851,132000,1175771,843288
2000:Q2,11019540,1380015,4382814,1992892,3258155,5664,11019540,10994043,25438,59,2640000,208865,35976,251299,133000,1148749,862111
2000:Q3,11165543,1410487,4428405,2012677,3308225,5749,11165543,11139681,25801,61,2634500,212896,36100,254269,134000,1169260,827975
2000:Q4,11081596,1376141,4323332,2027892,3348397,5834,11081596,11055392,26143,61,2629000,213429,36686,245529,135000,1086000,912356
2001:Q1,10915960,1349972,4127273,2042041,3390583,6091,10915960,10888771,27125,64,2626500,219630,37000,237494,139000,978387,1014989
2001:Q2,11178005,1383539,4266269,2067353,3454496,6348,11178005,11149783,28155,67,2624000,217754,38749,249237,143000,1040116,935144
2001:Q3,11002023,1363547,4055371,2080093,3496407,6605,11002023,10972831,29122,70,2621500,216806,40288,239160,147000,917133,1061113
2001:Q4,11295234,1397180,4218173,2108340,3564680,6861,11295234,11264992,30170,72,2619000,214693,39930,250950,151000,1012000,950427
2002:Q1,11500148,1396115,4352093,2129876,3614940,7124,11500148,11468877,31197,74,2597250,216503,40824,271578,153750,1024556,890039
2002:Q2,11353513,1380139,4169319,2143622,3653046,7387,11353513,11321266,32169,78,2575500,219107,41523,280147,156500,941600,936623
2002:Q3,11183880,1367684,3962355,2158234,3687959,7648,11183880,11150675,33125,80,2553750,222669,42231,282535,159250,836870,1010195
2002:Q4,11443727,1439877,4072475,2179922,3743542,7911,11443727,11409472,34173,82,2532000,219401,43319,308277,162000,885000,914003
2003:Q1,11535624,1447337,4080783,2199872,3799354,8278,11535624,11500246,35292,86,2647250,222538,44552,306349,159000,882887,1031924
